customer_ID,plan,predicted
10000184,1033013,1033013
10000187,1123012,1123012
10000188,1133124,1133124
10000189,1012022,1012022
10000190,1122114,1122114
10000191,1032124,1032124
10000192,1111021,1111021
10000193,1012023,1023024
10000194,2043102,2043102
10000197,0022101,0122002
10000198,1133021,1133021
10000200,2133132,2133132
10000203,1133111,1133111
10000205,1033013,1033013
10000206,1112123,1112123
10000208,2033112,2033112
10000209,2043002,2043002
10000210,1023021,1023021
10000211,0033002,0033002
10000212,0021012,0033021
10000214,0011001,0011001
10000215,0033023,0033023
10000216,2013123,2013123
10000217,2012033,2012033
10000218,2122033,2122033
10000220,0011002,0011002
10000221,0022001,0022001
10000224,1033002,1033002
10000227,1023013,1033011
10000228,1033121,1033121
10000229,2111022,2111022
10000230,1033022,1033022
10000236,1112122,1112122
10000239,1123113,1123113
10000240,1143102,1143102
10000242,1122112,1122112
10000243,0012004,0012004
10000245,1033123,1033123
10000246,1133124,1123124
10000248,1132012,1132012
10000250,1111122,1111122
10000252,1013013,1013123
10000253,1133021,1133121
10000254,0012003,0012003
10000255,0012003,0012003
10000256,1122012,1122012
10000259,2033112,2033112
10000261,2132121,2133121
10000262,0011002,0011002
10000263,2022111,2022111
10000264,1133102,1133102
10000265,1113022,1113022
10000266,1013101,0013002
10000269,1112022,1112022
10000271,1133112,1133112
10000275,1133112,1133112
10000277,1012123,1012123
10000278,1133122,1132121
10000281,2013032,2013032
10000282,1133121,1133121
10000283,1011123,1011123
10000284,1133123,1133123
10000287,2043012,2043012
10000288,0012002,0012002
10000293,1032112,1032112
10000294,1123123,1123123
10000295,1032021,1032021
10000299,1122121,1122121
10000305,0133102,1133113
10000306,1143123,1143123
10000307,1143114,1143114
10000308,1133102,1133102
10000310,0133003,0133003
10000311,1123123,1123123
10000314,1043103,1043103
10000316,0033103,0033103
10000318,0023003,0023003
10000320,1122111,1122111
10000321,1133114,1133114
10000324,0012002,0012002
10000330,1033022,1033022
10000331,1033121,1033121
10000332,0012002,1012023
10000334,0113001,0113001
10000335,1122021,1122021
10000336,1023023,1023023
10000337,1133102,1133102
10000338,1133021,1133021
10000339,1033112,1032113
10000344,1133103,1133103
10000345,1013031,1043023
10000346,1143113,1143113
10000347,1123121,1123121
10000348,1133123,1133123
10000349,1033104,1033104
10000350,1031003,1011023
10000351,1111122,1111122
10000353,1033021,1033021
10000354,1143102,1143102
10000355,1133013,1133013
10000357,1023013,1023013
10000359,2033133,2033133
10000360,0123003,0123003
10000361,1043113,1043113
10000362,0012002,0012002
10000363,1033122,1033122
10000365,1133004,1133004
10000367,1133023,1133023
10000368,1133123,1133123
10000369,1033101,1033101
10000371,1122121,1122121
10000374,1132101,1132101
10000375,2011023,1011022
10000376,0022004,0022004
10000377,0133003,1033021
10000378,2011102,2011102
10000379,1113021,1113021
10000381,1113013,1133013
10000383,1133114,1133114
10000385,1122123,1122123
10000386,1023001,1023001
10000388,1033002,1033002
10000389,1023123,1023123
10000391,2033033,2033033
10000392,1033002,1033002
10000393,2133002,2133002
10000394,1111112,1033113
10000395,2033103,2033103
10000396,1032011,1032011
10000397,1133112,1133112
10000398,1023023,1023023
10000400,0133003,0133003
10000401,2113123,2112123
10000402,1011121,1011121
10000403,1112122,1112122
10000404,1133101,1133101
10000405,1033122,1033122
10000406,2033001,2033001
10000407,2033133,2033133
10000408,2033104,2033103
10000410,2111131,2111131
10000411,2023002,0023002
10000412,1033102,1033102
10000415,0012002,0012002
10000416,1012113,1112113
10000417,1133113,1133113
10000418,1013122,2011101
10000420,0011002,0011002
10000422,0011002,0011002
10000423,2013023,2013023
10000425,0023002,0023002
10000426,1123124,1123124
10000428,1113122,1113122
10000429,2033013,2033013
10000430,1033011,1032011
10000433,1033002,1033002
10000435,1111124,1111124
10000437,1032001,0012002
10000441,1013014,0013014
10000443,1011023,0023112
10000444,1013122,1022121
10000445,0043012,0033002
10000446,0012001,0012001
10000447,1111111,1111111
10000449,1133102,1133102
10000450,1133023,1133121
10000451,1032012,1132012
10000452,1013013,1013013
10000453,1033021,1033021
10000454,1033022,1033022
10000455,0033002,0033002
10000457,1122024,1122024
10000458,1112124,1112124
10000459,1111123,1111123
10000460,1123023,1123023
10000463,0033003,0033003
10000465,0143002,0143002
10000468,1133112,1133112
10000469,0022001,0022001
10000471,1043123,1043123
10000473,0023002,0023002
10000474,1133121,1133121
10000476,1122111,1122111
10000478,2133114,2133114
10000479,0113003,0113003
10000481,0013001,0013001
10000482,1133022,1133022
10000483,1043123,1143104
10000484,1133123,1133123
10000485,1122121,1111121
10000486,1032121,1032021
10000487,0111002,0111002
10000488,1023123,1023123
10000489,0113002,0113002
10000490,2012022,2012022
10000491,1033121,1033121
10000494,1022022,1022022
10000495,0033004,0033004
10000497,1143123,1143123
10000499,1123123,1123123
10000500,1133114,1133114
10000501,1023024,1023024
10000502,1122121,1122121
10000504,1032003,1032003
10000505,1033014,1033014
10000509,0013002,0013002
10000510,1143013,1143013
10000511,1033121,1033121
10000512,1012022,1012022
10000516,1033021,1033021
10000518,2033012,2033012
10000521,1032112,1032112
10000529,2113013,2023022
10000532,1132102,1132102
10000533,1133101,1133101
10000534,1133011,1133011
10000537,2111032,2111032
10000538,2122032,2122032
10000541,1043123,1043123
10000543,0033002,0033002
10000546,1132023,1133123
10000547,1122123,1122123
10000548,0122002,0122002
10000549,2043124,2043124
10000550,2033013,2033013
10000551,2013023,2013023
10000552,1043113,1043113
10000558,1133124,1133124
10000561,1043113,1043113
10000562,2113123,2113123
10000563,0133122,0133122
10000565,0033001,0033001
10000566,1122113,1122113
10000567,1033012,1033012
10000568,1133102,1133102
10000569,1112122,1132113
10000571,1012002,1012002
10000572,2123001,2123001
10000573,1133121,1133121
10000574,1123003,1123003
10000576,2033003,2033003
10000577,0012023,0012023
10000578,1133013,1133013
10000580,2011032,2011032
10000581,0122001,0122001
10000583,1023021,1023021
10000585,0023002,0023002
10000586,0011002,0011002
10000587,2033113,2033113
10000589,1143104,1143104
10000590,1122111,1122111
10000593,2011033,2011033
10000594,1132021,1132021
10000596,1133123,1133123
10000598,1133123,1133123
10000600,0012002,0012002
10000601,1013023,1013023
10000603,0033002,0033002
10000608,1123104,1123104
10000609,0011002,0012002
10000611,1033022,1033022
10000614,0112001,0112001
10000615,2033013,2033013
10000616,1033104,1033104
10000618,1033101,1033101
10000619,1133023,1113121
10000622,2011033,2011033
10000624,1043111,1043012
10000628,2022012,2022012
10000630,0033001,0033001
10000631,2122103,2122103
10000633,0111002,0111002
10000636,2133121,2133121
10000637,0012023,0012023
10000639,0011004,0011001
10000640,0011001,0011001
10000643,1032021,1032021
10000644,1033121,1033121
10000647,2111121,2111121
10000648,1133102,1133102
10000649,0111001,0111001
10000650,1133112,1122112
10000655,0011021,0011013
10000658,0143013,0143013
10000660,2033002,2033002
10000663,1113012,1113012
10000664,1133123,1133123
10000666,2023002,2023002
10000668,2013033,2013033
10000669,0011003,0011003
10000670,1033023,1033023
10000671,0022001,0022001
10000673,2123121,2123121
10000674,1133122,1133122
10000675,2033032,2033032
10000676,1013114,1013114
10000677,1113123,1123123
10000680,1133112,1133112
10000682,0112001,0112001
10000683,2111022,2111022
10000685,1122023,1122023
10000686,1033013,1033013
10000687,1022021,1022021
10000689,1123121,1123121
10000690,2111131,2111131
10000691,0033002,0033002
10000692,1043112,1043112
10000693,0123003,0123003
10000694,0011001,0011001
10000695,0011002,0011002
10000697,1033123,1033123
10000699,1033013,1033013
10000700,1133012,1133112
10000701,2123113,2123113
10000702,1032112,1032112
10000703,0133002,0133002
10000704,0022002,0022002
10000706,0133022,0133022
10000708,1111111,1111111
10000709,1032013,1032013
10000710,1023114,1023114
10000712,1043002,1043002
10000715,1122121,1122121
10000716,2123123,2123123
10000719,1133023,1133023
10000720,1033102,1033102
10000721,0011003,0011003
10000722,1133112,1133112
10000724,1033002,1143102
10000725,2113123,2113123
10000726,2011032,2011031
10000727,1011123,1011123
10000729,1043023,1043023
10000731,1033122,1033122
10000732,2123132,2123132
10000733,1123122,1123122
10000734,1043123,1043123
10000735,1133012,1023012
10000736,1033122,1133122
10000739,2033023,2033023
10000743,1122122,1112121
10000746,1123021,1123021
10000749,1112124,1112124
10000753,1033123,1033123
10000755,2033102,2033102
10000756,0022002,0022002
10000759,1043103,2043103
10000762,1122113,1122113
10000763,0122002,0122002
10000764,1133113,1133113
10000767,1011012,1011012
10000768,1012023,1012023
10000772,1033002,1033002
10000773,2013023,2013023
10000776,1122122,1122122
10000778,0012002,0012002
10000780,1022022,1022022
10000781,1032022,1122122
10000782,1033021,1033021
10000783,1133122,1133122
10000784,1031001,2111101
10000787,1011122,2133132
10000791,0011001,0011001
10000795,0011002,0011002
10000796,1133111,2033031
10000798,1122121,1122121
10000799,1133123,1133121
10000800,1133123,1133123
10000801,1143023,1122123
10000804,1011022,1023022
10000805,2133102,2133102
10000806,1133102,1133102
10000808,2043101,2043101
10000809,0022002,0022002
10000812,1143123,1143123
10000813,0033003,0033003
10000815,1013112,1013112
10000816,0012003,0012003
10000818,1133113,1133113
10000819,2033023,2033023
10000821,1011002,1011002
10000822,2133112,2133112
10000823,1032023,1032023
10000825,2033122,2033122
10000826,1111122,1111122
10000827,1123124,1123124
10000828,1111124,1111124
10000829,1111101,1111101
10000831,1133023,1133023
10000832,2043002,2043002
10000835,0133001,0133001
10000837,0023002,0033002
10000838,1143102,1143102
10000839,0043022,0043022
10000841,1033112,1033112
10000842,2033014,2033014
10000845,1033123,1033123
10000846,1032021,1032021
10000847,1133113,1133113
10000848,0023002,0023002
10000850,1043011,1043011
10000851,1111111,1111111
10000852,1143123,1143123
10000853,1112112,1112112
10000854,1033012,1033012
10000855,1043013,1043013
10000856,1123102,1123102
10000857,1123021,1133021
10000858,1133123,1133123
10000860,1122022,1022122
10000861,1112022,1112123
10000863,1011023,1011023
10000864,2043102,2043102
10000865,1033002,1033002
10000866,0012002,0012002
10000867,0012002,0011002
10000868,1111021,1111021
10000869,1112121,1112121
10000871,1043013,1043013
10000874,1143124,1143124
10000875,1113124,1111124
10000877,1133002,1133002
10000879,1113011,1111101
10000880,0021002,0022002
10000882,1023122,1023122
10000886,2013023,2013023
10000888,1123021,1123021
10000889,1013023,1013023
10000890,1023021,1023112
10000891,1143021,1143021
10000892,1133122,1133122
10000894,1133123,1133123
10000896,0012002,0012002
10000897,1023121,1023121
10000898,2033002,2033002
10000899,1033023,1033023
10000900,1133013,1133013
10000903,1033113,1033113
10000904,1123121,1143024
10000905,1113024,1113024
10000907,0012001,0012001
10000908,1021022,1021022
10000912,1133123,1133123
10000913,0123002,0022002
10000914,1033021,1033021
10000919,1022011,1011101
10000921,1022021,1022021
10000922,1113123,1113123
10000923,1122113,1122113
10000924,1133101,1133101
10000925,2133112,2032011
10000926,1033013,1043113
10000929,1132114,1132114
10000930,1112122,1112122
10000931,0113122,0113112
10000932,1123124,1123124
10000933,2112024,2122022
10000934,0122002,0122002
10000935,1043122,1033123
10000936,2043033,2043033
10000937,1033104,1033104
10000940,0012001,0012001
10000941,1033121,1033121
10000942,1113122,1113122
10000943,1111122,1111122
10000944,1133123,1133123
10000945,1012021,1012021
10000946,1033002,1033002
10000947,1132012,1132022
10000948,2013011,2013011
10000949,0012002,0012002
10000951,2133123,1133122
10000953,0113002,0113002
10000958,1113012,1113012
10000959,2123132,2123132
10000960,1133112,1133112
10000961,1043123,1043123
10000962,1123133,2023032
10000963,2033023,2033023
10000965,0012003,0012003
10000966,1043123,1043123
10000969,1133112,1133112
10000970,1011014,1021013
10000971,2011033,2011033
10000972,1113013,1113013
10000973,2043023,2043023
10000974,1032004,0032002
10000975,0023002,0023002
10000976,1132122,1132122
10000978,1123021,1123021
10000980,1122021,1122021
10000982,1133123,1133123
10000983,2113121,2113121
10000987,2123031,2123031
10000988,1013012,1013012
10000989,0111003,0111003
10000992,1033002,2033002
10000993,1043023,1043023
10000994,1022121,1022121
10000999,1133002,1143102
10001002,1022114,1022114
10001003,1012123,1012123
10001004,1033023,1033023
10001006,1113123,1113123
10001007,1013023,1013023
10001009,1013122,1013122
10001014,1122124,1122124
10001016,1112021,1112021
10001018,0013002,0013002
10001019,1111122,1111122
10001020,2133113,2133113
10001021,1111122,1111122
10001022,2113033,2143033
10001023,2122013,2122013
10001024,1133122,1133021
10001027,2123123,2143113
10001029,1033013,1033013
10001030,0113002,0113002
10001032,1133123,1133123
10001035,1043124,1043124
10001037,0113002,0113021
10001038,2133113,1033002
10001039,2143113,2143113
10001040,1133122,1133122
10001041,0033002,0033002
10001043,0022003,0022003
10001044,0133002,0033002
10001045,1133112,1133112
10001048,1123124,1123124
10001049,0013002,0013002
10001050,2043102,2043102
10001053,1123121,1123121
10001054,1033113,1043102
10001057,2023032,2023032
10001059,0113001,0113001
10001061,1123103,1123102
10001063,2021133,2021133
10001064,1012123,1012123
10001067,1012122,1012122
10001068,1133104,1133104
10001070,1133103,1133103
10001071,1133102,1133102
10001072,1143124,1143124
10001073,1133102,1133102
10001074,0122122,0122122
10001076,1013012,1033002
10001077,1122124,1122124
10001078,1032121,1032121
10001079,2113131,2113131
10001081,1133123,1133123
10001083,1011012,1011012
10001084,0012003,0012003
10001086,1133022,1133023
10001087,1133122,1133122
10001089,0143002,0143002
10001090,1033012,1033012
10001091,1033113,1033113
10001092,1133113,1133113
10001094,1033021,2123113
10001098,2022031,2022031
10001099,0132002,0112002
10001100,2143013,2143013
10001103,1133102,1023114
10001104,1022023,1122122
10001106,1013121,1113121
10001107,1122113,1122113
10001110,1043114,1043114
10001112,1032021,1032021
10001113,2013131,1013021
10001114,1033021,1023121
10001116,1133014,1133014
10001117,1133101,1133101
10001121,1133023,1133023
10001122,1143023,1143023
10001123,0011001,0011001
10001124,2112122,1111112
10001126,1013022,1013022
10001127,1112123,1112123
10001128,1112122,1122122
10001129,0012122,1122121
10001130,1023121,2023102
10001131,1043022,1043012
10001133,1032102,1132101
10001134,2032132,2032132
10001135,1113124,1043124
10001136,0133002,0133002
10001137,1022033,1022022
10001139,1033023,1033023
10001140,1033023,1033023
10001141,2033004,2033004
10001143,1033011,1033011
10001145,1122122,1122122
10001146,1143112,1143112
10001147,1043003,1043003
10001152,1033111,1033111
10001153,1033102,1033103
10001154,1033011,1033011
10001155,1133104,1143104
10001157,0022002,1022022
10001159,1132101,1132101
10001160,1143022,1143022
10001161,0133113,0133113
10001162,1133112,1133112
10001163,1011011,1011011
10001168,1022022,1022022
10001170,1012133,1043123
10001171,1133111,1122113
10001173,1111002,1111002
10001174,1133124,1133124
10001176,1133112,1133112
10001177,1023113,1023113
10001178,0033002,0033002
10001180,1113112,1133022
10001181,0022002,0022002
10001183,1012013,1012013
10001184,1133113,1133113
10001186,0113021,1111021
10001190,1033113,1033023
10001191,1133003,1033002
10001192,1023121,1023121
10001193,1033121,1033114
10001195,0011002,0011002
10001197,1133123,1133123
10001198,0012003,0122003
10001199,1012013,1012013
10001200,0011011,0011011
10001201,2033102,2033102
10001202,1022111,1022111
10001203,1133111,1133111
10001204,1112124,1112124
10001205,2023031,2023031
10001206,1133123,1133123
10001207,2033022,1123122
10001208,1143001,1143001
10001209,1123113,1123113
10001213,1143101,1133113
10001215,0133002,0133002
10001219,1043023,1043023
10001221,2033023,2033003
10001222,1013122,1013122
10001225,1022021,1022021
10001226,1043023,1043023
10001228,2023002,2023002
10001229,1033113,1033113
10001232,1021022,1021022
10001233,1113011,1113011
10001235,0121002,0121002
10001236,1143133,1112123
10001237,1033112,1033112
10001239,1033023,1033023
10001241,1033122,1033122
10001242,1112121,1122124
10001243,1133103,1133103
10001244,1012101,1012101
10001246,2013021,0013002
10001247,0011003,0011003
10001248,1113121,1113121
10001249,1033011,1033011
10001250,1032123,1032123
10001251,0133002,0133002
10001253,1143102,1143102
10001254,1033002,1033002
10001255,0023032,2023032
10001256,1111121,1111121
10001257,1123122,1123122
10001258,1122022,1122022
10001259,1132023,1132023
10001260,1143113,1143113
10001261,1032002,1032002
10001263,1133113,1133113
10001264,0122002,0122002
10001265,1133012,1133012
10001266,0011003,0011003
10001268,1123112,1123112
10001270,1133112,1133112
10001271,1132023,1132023
10001272,1012123,1012123
10001273,2113022,2113022
10001275,1033112,1033112
10001276,1023012,1122114
10001277,1043023,1043023
10001279,1033022,1033022
10001280,0023001,0023001
10001281,0011003,0111111
10001284,1132124,1132124
10001285,0123013,0123013
10001286,1023022,1023121
10001287,1011022,1011022
10001288,2133101,2133101
10001290,1113114,1113114
10001291,1033023,1033023
10001293,1133112,1133112
10001296,0133004,0133014
10001297,1033124,1033124
10001301,1013012,1123111
10001302,2133032,2133032
10001303,0012001,0012001
10001304,1122021,1122021
10001308,1033122,1033122
10001310,1133121,1133121
10001313,1033001,1033001
10001314,1112122,1112122
10001317,1122102,1122102
10001318,1133103,1133002
10001319,1121023,1121023
10001320,2111111,2111111
10001321,1013113,1013113
10001322,1133123,1133123
10001323,1132022,1133021
10001324,1032002,1032002
10001325,1123113,1123113
10001327,1042021,1043023
10001328,1111121,1111121
10001329,1111123,1111123
10001330,2143013,2143013
10001331,2032123,2122031
10001333,1143103,1143103
10001334,2033123,2033123
10001339,2122132,2122132
10001340,1111012,1132012
10001342,2012111,1123113
10001344,1122023,1123123
10001347,2013123,2013123
10001348,2033032,2033032
10001349,2113011,2113011
10001350,0023002,0023002
10001352,1043024,1043024
10001353,0013002,0013002
10001355,2111121,2111121
10001357,1112022,1112022
10001358,0133033,0033001
10001359,1122121,1122121
10001361,1033124,1033124
10001366,0012001,0012001
10001369,1043123,1043123
10001370,1143104,1143104
10001371,0013002,0013002
10001372,1033114,1133113
10001373,1133124,1133124
10001375,1111121,1111121
10001376,1033023,1133002
10001379,1113124,1113124
10001380,0033004,0033004
10001381,1022022,1022022
10001382,2143104,2143104
10001385,0033002,0033002
10001386,2133032,2133032
10001389,1023114,1023114
10001390,0133002,0133002
10001391,1122023,1122023
10001395,1043001,1043001
10001396,0023002,0023002
10001397,1033022,1033022
10001398,0122001,0122001
10001401,0123001,0123001
10001403,1022021,1022021
10001405,1113113,1113113
10001407,1143002,1143002
10001408,0011002,0011002
10001409,1143122,1143122
10001412,1032021,0012004
10001413,0012003,0012003
10001416,1033112,1043111
10001417,1133013,1133013
10001419,0011002,0011002
10001420,1033023,1033022
10001421,2013133,2113133
10001422,2111122,2111122
10001423,1112122,1112122
10001424,1011023,1011023
10001425,1113122,1113122
10001427,1043113,1043113
10001428,0123003,0113003
10001429,0132002,0132002
10001431,1111122,1111122
10001432,1011123,1011123
10001433,0011001,0011001
10001434,1133123,1133123
10001435,1033002,1033002
10001436,1023123,1023123
10001443,1011122,1011122
10001444,1033023,1033023
10001445,1022021,1022021
10001447,1143021,1143021
10001448,1043103,1043003
10001449,2012022,2012022
10001450,1022103,1022103
10001452,2143113,2143113
10001453,0012002,0033003
10001455,1143102,1143102
10001456,1012122,1012122
10001457,1133124,1133124
10001459,1133112,1133112
10001460,0012003,0012003
10001461,2133133,2133133
10001462,1143113,1043123
10001463,2011031,2011031
10001464,1123114,1123114
10001467,1013124,1013124
10001468,1012123,1012123
10001470,1113123,1113123
10001472,1012022,1012022
10001473,1043002,1043002
10001477,0022003,0022003
10001478,1112103,1033102
10001481,0033001,0033001
10001486,1033123,1033123
10001488,1133122,1133122
10001490,2012033,1112013
10001491,2111022,2111022
10001492,1033023,2033023
10001493,1033011,1033011
10001494,1133114,1133114
10001495,1022023,1022023
10001496,1133012,1133012
10001498,0011002,0011002
10001499,1022121,1022121
10001500,1143022,1143022
10001501,1043002,1043002
10001503,1122022,1122022
10001506,1033022,1033022
10001508,2012132,2012132
10001510,1043012,1043012
10001512,1033002,1033002
10001514,0123002,0123002
10001516,1133021,1133021
10001517,1113113,1113113
10001519,1033114,1033114
10001520,1123013,1123013
10001522,1133102,1133102
10001524,1123014,1123014
10001526,1123124,1123124
10001527,1133122,1133122
10001528,1032002,1032002
10001529,1133012,1133012
10001531,1122101,1122101
10001533,1143123,1143123
10001536,1022013,1022013
10001537,1113121,1113121
10001539,2122032,2122032
10001540,1113121,1113121
10001541,1143113,1143113
10001550,1033124,1033124
10001552,2133131,2133131
10001554,1012021,1012021
10001556,1033121,1033121
10001557,1123023,1123023
10001558,1143113,1143113
10001559,1033022,1033022
10001561,1023002,1023002
10001562,1112111,1112111
10001564,0023002,0023002
10001565,1133102,1133102
10001567,2023021,2043131
10001570,1022102,1022013
10001571,1113022,1113022
10001572,1111123,1111123
10001573,2023131,2023131
10001574,2143123,2143123
10001576,0023002,0023002
10001577,1133123,1133123
10001579,1133022,1133012
10001580,0023001,0023001
10001584,2123131,2123131
10001588,1122124,1122124
10001589,0143002,0143002
10001590,0022001,0022001
10001594,1033102,1033102
10001595,0012002,1012022
10001596,1013101,1013101
10001598,0123021,1123121
10001599,1011002,1122122
10001601,0111001,0111001
10001602,1133102,1133102
10001604,1012123,1012123
10001605,1133013,1133013
10001607,0011003,0011003
10001608,1122114,1122114
10001611,1012011,1012011
10001612,0122002,0122002
10001614,1022124,1022124
10001615,1133122,1133122
10001616,1033114,1033113
10001618,0011002,0011002
10001619,1123112,1123112
10001621,0133102,0133102
10001623,0012111,1112112
10001624,1122122,1122122
10001626,1033021,1033021
10001628,1143124,1123123
10001630,1043013,1111113
10001631,1143123,1143123
10001632,1123013,1123013
10001633,0111001,0111001
10001634,1133123,2133123
10001635,1133023,1133023
10001636,1043002,1043002
10001637,1023013,1023013
10001639,0023002,0023002
10001640,1133124,1133124
10001644,1033022,1033022
10001645,1033113,1033113
10001648,0012003,0023002
10001650,1013023,1013023
10001651,2111123,2111123
10001653,1133123,1133123
10001654,1112111,1112111
10001655,1122122,1122122
10001657,1133122,1133122
10001660,0022012,0033012
10001661,1113011,1113011
10001662,1122123,1122123
10001663,0033001,0033001
10001666,0023001,0023001
10001667,1023012,1033012
10001669,1113023,1133123
10001672,1023113,1023113
10001673,1133123,1133123
10001674,0022003,0022003
10001675,1023012,1023012
10001676,1133102,1133102
10001677,1143101,1143101
10001678,1033124,1043114
10001679,1033023,1033023
10001682,2122113,2122113
10001683,1133013,1133013
10001684,1113012,0111002
10001687,1033102,1033102
10001688,1113023,1113023
10001689,1021021,1021021
10001690,0133003,0133003
10001691,1043013,1043013
10001692,1133123,1133123
10001693,1033124,2133134
10001695,1133113,1133113
10001696,1033103,1033103
10001698,2133123,2133123
10001702,0113003,0113003
10001704,1013121,2011031
10001705,0033003,0033003
10001709,1133123,1112121
10001710,1023022,1023022
10001713,2043023,2043023
10001714,1033002,1033002
10001720,0022002,0022002
10001721,1143104,1143104
10001723,1143124,1143124
10001724,1133111,1133111
10001725,1123122,1123122
10001726,1013001,1013001
10001728,1111123,1111123
10001729,1143024,1143024
10001730,1143103,1143103
10001731,2033013,2033013
10001732,1133014,1133014
10001734,1022002,1022002
10001735,1033002,1033002
10001737,0133002,0133002
10001738,2143123,2143123
10001739,1033021,1033021
10001740,2113021,0143004
10001741,2143014,2143014
10001743,0033003,0033003
10001744,0023004,0023004
10001745,1113121,1133121
10001748,1122123,1122123
10001749,1033023,1033023
10001751,1133112,1133112
10001752,1043023,1043023
10001753,1123022,1133022
10001755,1112121,0112121
10001756,0011021,0011021
10001757,1112122,1111112
10001758,1143122,1143122
10001759,1133112,1133112
10001760,1133012,1133012
10001763,1122111,1122111
10001764,1012023,1012023
10001765,1133102,1133102
10001766,1133013,1143013
10001767,1133122,1133122
10001768,1133121,1133121
10001769,1133121,1133121
10001772,2033031,2033031
10001773,0033002,0033002
10001774,1023022,1123122
10001776,1033102,1033102
10001778,1133112,1133112
10001779,1023102,1023102
10001781,0012022,1012022
10001783,1022101,1022101
10001785,2033121,1133121
10001789,2033012,2033012
10001790,2133023,2133023
10001792,1133012,1032012
10001796,0033003,0033003
10001797,1013002,1043101
10001798,2133102,2133102
10001799,1013101,1013101
10001800,1133102,1133102
10001801,2013023,2013023
10001803,0033012,0033013
10001804,2033021,2133023
10001805,0011002,0011002
10001806,1143023,0143023
10001807,2013121,2133111
10001810,2112033,2112033
10001811,0133001,0133001
10001813,2021022,2021022
10001815,2133123,2033023
10001817,1033022,1033022
10001818,0133002,0133002
10001819,1133013,1133013
10001820,1112121,1112121
10001821,0143002,0143002
10001822,1033002,1033002
10001828,1133112,1133112
10001829,1112124,1112124
10001831,0011002,0011002
10001834,1032001,1032001
10001835,1112113,1112113
10001836,0043003,0043003
10001837,0133002,0133002
10001838,1011013,1011013
10001839,0013002,0023002
10001840,2133102,2133102
10001842,1133022,1133022
10001845,1033122,1033122
10001846,1132012,1033011
10001847,1143124,1143124
10001850,1023013,1023013
10001851,2013031,2013031
10001853,0113002,0113002
10001854,1133014,1133014
10001855,0122123,0122123
10001856,1012022,1012022
10001857,0043022,0043022
10001858,1022023,1022023
10001859,1032113,1032113
10001860,0111002,0133002
10001862,2033022,2032021
10001864,1133103,1133103
10001866,1112123,1112121
