customer_ID,group_size,homeowner,car_age,car_value,risk_factor,married_couple,duration_previous,A,B,C,D,E,F,G,age_average,cluster
10001820,1,1,11,6,0,0,1,B,B,B,C,B,C,B,51,1
10001835,1,1,1,4,0,0,4,B,B,B,C,B,B,D,25,1
10001838,1,1,10,5,1,0,4,B,A,B,B,A,B,D,42,1
10001856,1,1,10,4,0,0,2,B,A,B,C,A,C,C,29,1
10001876,2,1,11,5,0,0,0,A,A,B,C,A,A,C,49.5,1
10001898,1,1,11,6,0,0,3,B,A,D,D,A,B,C,27,1
10001909,1,1,9,6,0,0,7,C,B,C,D,A,D,D,30,1
10001927,1,1,12,6,0,0,7,B,B,D,D,B,C,B,34,1
10001968,1,1,2,5,0,0,1,B,B,C,D,B,C,B,27,1
10001973,1,1,10,5,0,0,2,A,A,B,B,A,A,C,41,1
10001994,1,1,4,5,0,0,3,B,A,B,B,A,C,B,35,1
10002008,1,1,2,6,0,0,1,B,B,E,D,B,B,C,54,1
10002048,1,1,1,6,0,0,1,C,B,D,D,B,B,D,39,1
10002085,1,1,3,5,0,0,12,B,A,D,D,B,B,C,27.5,1
10002096,1,1,1,6,1,0,1,C,A,D,D,A,A,C,49,1
10002154,1,1,7,6,0,0,2,C,B,C,D,B,C,C,29,1
10002164,1,1,1,7,0,0,5,B,B,D,D,B,C,B,26,1
10002167,1,1,11,6,0,0,2,A,A,C,D,A,A,D,27,1
10002168,1,1,11,4,0,0,7,B,B,B,B,A,C,C,23,1
10002186,1,1,7,6,0,0,7,B,A,D,D,B,A,B,32,1
10002190,1,1,1,5,0,0,8,C,B,B,B,A,D,B,26,1
10002199,1,1,4,5,0,0,5,B,A,C,B,B,B,B,53,1
10002246,1,1,2,7,0,0,0,B,B,B,D,B,B,C,37,1
10002255,1,1,7,6,1,0,8,B,B,E,D,B,C,E,46,1
10002330,1,1,5,7,1,0,2,B,B,D,D,B,B,D,30,1
10002332,1,1,11,5,0,0,2,A,B,B,D,A,A,D,31,1
10002381,1,1,10,7,0,0,4,B,B,B,D,A,B,C,22,1
10002416,1,1,8,7,0,0,2,C,A,B,C,A,D,B,32,1
10002417,1,1,1,6,0,0,5,B,B,E,D,A,B,B,34,1
10002430,1,1,7,7,0,0,1,A,A,B,B,A,B,B,34,1
10002441,2,1,10,5,1,0,1,B,B,D,D,A,A,C,39.5,1
10002475,1,1,9,5,0,0,2,B,A,C,D,B,C,D,30,1
10002479,2,1,9,5,0,0,4,B,B,C,D,B,B,D,37,1
10002497,1,1,10,5,0,0,6,B,A,B,B,A,B,E,23,1
10002555,1,1,6,7,0,0,4,B,B,E,D,B,C,D,33,1
10002564,2,1,6,5,0,0,8,C,B,C,C,B,D,B,36.5,1
10002632,1,1,10,7,0,0,7,B,A,B,B,A,C,C,34,1
10002651,2,1,14,5,0,0,10,B,B,D,D,B,C,B,31,1
10002673,1,1,9,6,0,0,0,B,A,B,B,A,C,C,32,1
10002717,1,1,5,5,0,0,1,B,B,B,B,B,B,C,55,1
10002722,1,1,5,4,0,0,4,B,B,C,D,B,C,B,21,1
10002726,1,1,9,5,0,0,3,B,A,B,B,A,C,C,43,1
10002730,1,1,15,5,0,0,5,A,B,D,D,A,A,D,21,1
10002780,1,1,9,6,0,0,8,B,A,D,D,B,C,D,23,1
10002783,1,1,7,7,0,0,1,B,A,C,D,A,C,D,25,1
10002797,1,1,10,6,0,0,1,B,B,C,D,B,B,C,38,1
10002857,1,1,9,7,0,0,2,B,A,D,D,A,B,D,31,1
10002876,1,1,7,5,0,0,4,B,A,D,D,B,C,B,40,1
10002907,1,1,10,5,1,0,1,B,B,C,C,B,B,C,36,1
10002916,1,1,7,5,1,0,3,B,B,D,D,B,C,D,24,1
10002994,1,1,4,6,0,0,2,C,B,B,B,B,D,C,26,1
10003013,1,1,7,6,0,0,1,A,A,B,B,A,A,C,38,1
10003041,1,1,2,5,0,0,3,C,B,E,D,A,D,C,48,1
10003045,1,1,6,7,0,0,9,B,A,B,C,A,C,C,25,1
10003056,1,1,11,6,0,0,10,B,B,D,D,B,B,C,27,1
10003063,1,1,6,6,1,0,4,B,B,D,D,A,A,C,45,1
10003067,1,1,6,7,1,0,7,B,B,D,D,B,B,B,26,1
10003088,1,1,10,5,0,0,13,B,A,C,C,A,B,C,30,1
10003126,1,1,13,5,0,0,6,A,A,D,D,A,A,C,31,1
10003140,2,1,9,5,0,0,2,B,B,D,C,A,C,C,42.5,1
10003153,1,1,2,4,0,0,6,B,A,C,D,A,C,D,24,1
10003156,1,1,4,7,0,0,2,C,A,B,C,A,D,E,38,1
10003160,1,1,7,5,0,0,3,B,A,C,C,B,C,C,26,1
10003196,1,1,5,5,0,0,8,B,A,B,D,A,C,B,29,1
10003208,2,1,8,5,0,0,4,B,B,B,B,B,C,C,40.5,1
10003254,1,1,4,6,0,0,3,B,B,D,D,B,C,E,27,1
10003277,1,1,8,6,0,0,2,C,A,D,C,A,C,D,25,1
10003303,1,1,5,4,0,0,1,B,B,C,D,B,B,B,36,1
10003309,1,1,1,4,0,0,0,B,B,C,C,A,C,D,21,1
10003368,2,1,1,5,0,0,7,C,A,B,B,A,C,D,34.5,1
10003380,1,1,1,4,0,0,3,C,A,D,D,A,C,D,37,1
10003382,2,1,2,5,0,0,9,B,B,C,C,A,C,C,35,1
10003387,1,1,7,5,0,0,0,B,A,B,C,A,C,C,56,1
10003444,1,1,1,5,1,0,4,B,A,D,D,B,C,D,45,1
10003447,1,1,7,5,1,0,2,C,A,B,B,A,A,C,43,1
10003450,1,1,7,7,0,0,2,C,B,D,D,A,B,C,28,1
10003458,1,1,5,5,0,0,3,C,A,B,C,A,D,D,21,1
10003462,1,1,9,7,0,0,6,B,B,D,D,B,B,C,23,1
10003484,1,1,8,5,1,0,5,A,A,D,D,A,A,D,39,1
10003490,1,1,6,7,0,0,2,C,A,B,D,A,B,C,31,1
10003509,1,1,11,6,0,0,2,C,B,B,D,B,D,C,47,1
10003512,1,1,8,6,0,0,10,B,A,D,D,B,B,D,48,1
10003526,1,1,2,4,0,0,3,B,B,D,D,B,C,D,23,1
10003542,1,1,2,6,0,0,5,B,B,D,D,B,C,B,54,1
10003546,1,1,2,6,0,0,2,B,A,C,D,A,C,C,32,1
10003585,1,1,1,7,0,0,5,B,A,E,D,B,B,C,39,1
10003633,1,1,7,6,0,0,2,B,B,C,D,A,C,C,24,1
10003685,1,1,9,5,1,0,3,B,A,D,D,B,B,E,43,1
10003707,1,1,7,7,0,0,5,B,A,D,D,A,B,E,37,1
10003710,1,1,9,5,0,0,5,A,A,C,C,A,A,D,20,1
10003812,1,1,9,4,0,0,5,B,A,B,B,A,B,C,23,1
10003820,1,1,4,6,0,0,6,B,A,C,D,A,B,D,42,1
10003853,1,1,7,4,0,0,7,C,B,B,C,A,C,D,35,1
10003860,1,1,13,5,0,0,3,A,A,C,D,A,A,D,34,1
10003878,1,1,7,5,0,0,0,B,A,B,C,A,C,B,22,1
10003893,1,1,12,5,0,0,2,A,B,B,D,A,A,C,22,1
10003901,1,1,7,7,1,0,7,B,A,B,C,A,C,C,24,1
10003903,1,1,5,6,0,0,8,B,B,D,D,B,B,D,22,1
10003944,1,1,1,5,0,0,5,B,A,D,D,A,B,D,23,1
10003955,1,1,4,5,0,0,1,B,B,D,D,B,A,B,50,1
10003978,1,1,9,6,0,0,5,B,A,C,C,A,C,C,20,1
10004001,1,1,9,4,0,0,11,A,A,C,C,A,A,B,26,1
10004014,1,1,12,5,0,0,1,A,B,B,B,A,A,C,28,1
10004033,1,1,7,5,1,0,4,B,B,C,D,B,C,E,45,1
10004051,1,1,13,5,0,0,2,A,B,B,B,A,A,C,23,1
10004067,1,1,14,5,0,0,1,B,B,D,D,A,C,C,23,1
10004113,1,1,9,7,0,0,2,B,B,B,D,A,B,C,27,1
10004127,1,1,2,5,0,0,2,B,B,B,B,A,C,D,29,1
10004136,1,1,9,4,0,0,5,B,A,B,B,A,B,C,23,1
10004143,1,1,1,4,0,0,3,C,A,B,D,A,D,B,43.5,1
10004144,1,1,1,6,0,0,1,B,B,C,C,B,C,C,30,1
10004173,1,1,9,6,1,0,4,B,B,D,D,A,A,C,49,1
10004177,1,1,11,5,0,0,3,A,A,B,D,A,A,C,47,1
10004183,1,1,13,6,0,0,5,B,B,D,D,B,B,D,44,1
10004185,1,1,2,7,0,0,1,B,B,D,D,B,B,D,28,1
10004194,1,1,7,6,0,0,1,C,A,E,D,A,D,C,58,1
10004233,2,1,8,6,0,0,2,A,A,D,D,A,C,C,33,1
10004243,1,1,11,5,0,0,4,C,B,E,D,B,D,C,43,1
10004264,2,1,4,5,0,0,0,B,B,D,D,B,C,E,29.5,1
10004295,1,1,7,4,1,0,10,B,B,D,D,B,C,D,26,1
10004328,1,1,5,4,0,0,4,B,A,B,C,B,C,C,35,1
10004343,1,1,6,7,0,0,3,B,B,B,C,A,B,C,36,1
10004396,1,1,14,5,0,0,2,B,B,B,C,A,C,C,19,1
10004430,1,1,4,4,0,0,10,C,A,B,C,A,D,B,47,1
10004438,1,1,7,5,1,0,4,B,A,B,D,A,B,D,42,1
10004466,1,1,9,5,0,0,6,B,B,C,C,B,C,D,35,1
10004474,1,1,9,4,0,0,2,B,B,B,B,B,C,B,43,1
10004481,1,1,9,5,1,0,1,A,A,D,D,A,A,C,40,1
10004484,1,1,10,5,0,0,1,B,B,B,D,B,C,B,53,1
10004499,1,1,7,4,0,0,3,B,A,C,C,A,C,B,45,1
10004527,1,1,3,7,0,0,1,B,B,D,D,B,C,D,28,1
10004530,1,1,6,7,0,0,3,C,B,B,C,A,D,C,38,1
10004559,1,1,6,6,1,0,1,B,B,D,C,B,C,C,26,1
10004573,1,1,10,6,1,0,6,C,A,C,D,A,C,D,26,1
10004608,1,1,2,5,0,0,1,B,B,B,B,B,B,B,51,1
10004640,1,1,4,6,0,0,2,B,B,D,D,B,C,C,29,1
10004698,1,1,6,4,0,0,3,B,A,E,D,B,B,C,25,1
10004709,1,1,10,6,0,0,3,B,B,E,D,B,C,B,24,1
10004733,1,1,6,5,0,0,0,C,B,D,D,A,D,B,27,1
10004815,1,1,12,6,0,0,1,B,B,C,D,B,B,D,23,1
10004825,1,1,2,5,0,0,1,B,B,C,D,B,C,D,22,1
10004846,1,1,10,5,0,0,6,B,A,D,D,A,C,B,26,1
10004898,1,1,13,5,0,0,11,A,A,B,B,A,A,D,26,1
10004927,1,1,2,6,0,0,3,B,B,B,B,A,C,C,22,1
10004947,1,1,7,6,0,0,3,C,B,B,D,A,D,B,48,1
10004964,1,1,0,6,0,0,6,B,A,B,D,B,C,B,38,1
10004967,1,1,8,5,0,0,2,C,B,B,D,B,D,C,30,1
10005000,1,1,7,6,0,0,1,B,B,B,C,B,C,C,22,1
10005013,1,1,7,4,0,0,6,B,A,D,D,B,B,D,25,1
10005019,1,1,1,5,0,0,0,B,A,B,B,A,C,B,49,1
10005039,1,1,9,7,0,0,7,B,A,B,B,A,C,C,34.5,1
10005051,1,1,6,6,1,0,4,B,B,E,D,B,A,E,41,1
10005061,1,1,5,6,1,0,4,B,B,D,D,B,B,D,42,1
10005074,1,1,2,5,0,0,3,C,A,B,B,A,D,C,23,1
10005086,2,1,10,7,0,0,5,B,B,D,D,B,C,C,25.5,1
10005094,1,1,11,5,0,0,6,A,A,C,C,A,A,D,26,1
10005100,1,1,4,5,0,0,10,B,B,C,C,A,C,C,29,1
10005131,1,1,10,5,0,0,2,A,A,B,B,A,A,C,47,1
10005136,1,1,12,5,0,0,7,A,B,D,D,A,C,C,23,1
10005142,2,1,1,5,1,0,7,B,B,D,D,B,A,C,40,1
10005145,1,1,4,6,0,0,1,C,B,B,D,B,D,C,24,1
10005177,1,1,3,5,0,0,10,B,B,D,C,A,C,C,42,1
10005192,1,1,5,5,0,0,2,B,B,C,D,B,B,C,23,1
10005205,1,1,8,5,0,0,1,B,B,C,D,A,C,B,25,1
10005249,1,1,8,5,0,0,7,B,B,E,D,B,B,C,25,1
10005283,1,1,8,6,0,0,2,B,B,D,D,B,B,C,43,1
10005306,1,1,5,5,0,0,2,B,B,D,D,A,C,D,23,1
10005315,1,1,5,4,1,0,10,B,B,C,D,B,C,D,25,1
10005327,1,1,4,4,1,0,4,B,B,D,D,B,C,E,21,1
10005330,1,1,1,5,0,0,6.09394972975809,C,A,C,D,B,A,B,33,1
10005344,1,1,6,5,0,0,3,B,B,C,D,A,C,D,25,1
10005394,1,1,1,5,0,0,1,C,B,B,B,B,C,C,22,1
10005414,1,1,12,6,0,0,3,A,A,B,B,A,A,C,31,1
10005480,1,1,3,4,0,0,4,B,B,B,C,B,C,C,36,1
10005505,1,1,12,5,0,0,6,B,B,C,C,A,C,D,29,1
10005506,1,1,9,4,0,0,1,B,B,B,D,A,C,D,26,1
10005552,1,1,6,5,0,0,4,B,B,C,D,A,B,D,21,1
10005565,1,1,6,5,0,0,6,B,A,D,D,B,C,C,46,1
10005583,1,1,12,4,0,0,2,A,B,B,B,A,A,D,29,1
10005635,1,1,1,5,1,0,9,B,A,C,D,A,C,D,25,1
10005673,1,1,5,5,0,0,5,B,B,D,D,B,B,C,22,1
10005682,1,1,6,5,0,0,1,C,A,B,D,A,D,B,19,1
10005714,1,1,2,6,0,0,9,B,A,C,C,B,B,C,41,1
10005716,1,1,6,5,0,0,7,B,B,C,C,B,B,C,54,1
10005735,1,1,10,4,0,0,7,B,A,C,C,A,B,B,22,1
10005740,1,1,6,6,0,0,1,C,A,B,C,A,D,C,29,1
10005748,1,1,8,7,0,0,0,C,A,B,D,A,D,D,34,1
10005764,1,1,4,4,0,0,2,C,B,B,D,B,B,D,47,1
10005793,1,1,1,7,0,0,1,B,B,D,D,B,B,B,38,1
10005828,2,1,4,6,0,0,0,B,B,D,D,B,B,D,33,1
10005836,1,1,11,5,0,0,2,C,B,B,B,B,C,D,41,1
10005848,1,1,11,5,0,0,6,C,A,C,D,A,D,D,22,1
10005876,1,1,9,6,1,0,7,B,A,D,D,A,B,C,39,1
10005956,1,1,11,5,0,0,6,B,B,B,D,B,C,D,46,1
10005975,1,1,5,4,0,0,0,C,B,B,C,A,D,C,24,1
10005996,1,1,14,6,0,0,7,B,B,D,C,A,C,D,38,1
10006019,1,1,2,6,0,0,4,B,B,C,C,A,C,C,37,1
10006024,1,1,1,7,0,0,2,C,B,B,B,A,D,C,27,1
10006034,1,1,7,6,0,0,6,C,A,E,D,A,B,D,25,1
10006048,1,1,4,6,0,0,10,B,A,C,D,A,D,C,35,1
10006050,1,1,11,6,0,0,1,C,B,B,C,A,D,C,25,1
10006067,1,1,11,6,0,0,9,B,A,C,C,A,C,C,28,1
10006099,1,1,8,5,0,0,2,B,B,B,D,B,C,C,27,1
10006106,1,1,3,4,0,0,1,B,A,C,D,A,C,B,25,1
10006160,1,1,2,6,0,0,1,B,B,D,D,B,C,D,42,1
10006175,1,1,7,7,0,0,8,C,A,D,D,A,C,C,25,1
10006208,1,1,8,6,0,0,2,B,B,B,C,B,C,C,54,1
10006226,1,1,1,4,0,0,3,B,A,B,B,A,C,B,50,1
10006293,1,1,2,5,1,0,8,B,A,D,D,A,C,D,30,1
10006294,1,1,5,4,0,0,6,C,A,B,D,A,D,C,22,1
10006313,1,1,1,6,0,0,3,B,A,D,D,A,B,D,45,1
10006333,1,1,3,6,0,0,5,B,B,D,D,B,C,B,28,1
10006338,1,1,6,5,0,0,1,B,A,D,D,B,C,B,45,1
10006368,2,1,5,6,0,0,1,B,A,C,C,A,C,D,27,1
10006420,1,1,1,3,0,0,1,B,B,B,B,B,C,C,23,1
10006469,1,1,9,6,0,0,1,B,B,C,D,B,B,D,32,1
10006482,1,1,1,5,1,0,1,B,A,B,B,B,C,C,33,1
10006492,1,1,7,7,0,0,1,B,B,B,B,B,C,C,31,1
10006553,1,1,1,5,0,0,5,B,A,D,D,A,B,D,20,1
10006589,1,1,1,6,0,0,2,B,B,C,C,A,C,B,39,1
10006626,2,1,7,7,0,0,6,B,A,C,C,A,C,C,28,1
10006633,1,1,2,7,0,0,3,C,B,B,C,B,C,D,30,1
10006634,1,1,7,6,0,0,10,C,B,D,D,B,B,D,25,1
10006676,1,1,6,7,0,0,1,B,B,C,C,B,B,B,29,1
10006682,1,1,6,5,0,0,1,C,A,C,C,A,D,B,23,1
10006683,1,1,6,6,1,0,2,B,A,D,D,A,A,C,44,1
10006742,1,1,11,6,0,0,5,A,A,D,D,A,A,D,25,1
10006749,2,1,7,6,0,0,1,B,B,D,D,B,B,D,47.5,1
10006757,2,1,10,5,0,0,2,A,A,B,D,A,A,C,37,1
10006767,1,1,6,4,0,0,2,B,B,B,D,B,B,B,47,1
10006779,1,1,7,5,0,0,8,B,B,B,D,A,C,C,28,1
10006792,1,1,12,7,1,0,4,A,A,D,D,A,A,C,25,1
10006902,1,1,4,6,1,0,4,B,B,D,D,A,B,E,47,1
10006941,1,1,5,4,0,0,3,B,B,C,D,B,B,C,28,1
10006958,1,1,0,3,1,0,4,B,A,D,D,A,B,D,22,1
10006972,1,1,7,6,0,0,1,B,B,D,D,A,C,C,23,1
10007030,1,1,7,4,0,0,6,A,B,D,D,A,A,E,24,1
10007035,1,1,9,5,0,0,3,C,A,B,D,B,C,D,32,1
10007081,1,1,11,6,0,0,9,B,A,D,D,A,B,D,23,1
10007090,1,1,7,6,0,0,9,B,B,B,B,B,C,B,38,1
10007122,1,1,7,6,0,0,1,A,B,B,D,A,A,B,43,1
10007139,1,1,9,5,0,0,1,B,B,B,D,B,C,D,35,1
10007162,1,1,9,7,1,0,6,A,A,B,C,A,C,E,23,1
10007164,1,1,1,5,0,0,5,B,B,D,D,A,B,D,33,1
10007192,1,1,9,5,1,0,7,A,A,D,D,A,A,D,30,1
10007193,1,1,13,6,0,0,1,A,A,B,D,A,A,C,47,1
10007208,1,1,9,5,0,0,7,B,B,B,B,B,C,D,45,1
10007210,1,1,9,5,0,0,2,B,B,B,D,B,C,D,50,1
10007267,1,1,12,6,0,0,4,B,B,C,C,A,B,B,49,1
10007293,1,1,3,4,0,0,5,B,B,B,C,A,C,C,49,1
10007308,1,1,8,7,0,0,1,C,A,B,D,A,D,B,34,1
10007388,1,1,3,5,0,0,6,B,A,C,D,A,C,B,30,1
10007402,1,1,1,5,0,0,5,B,A,C,D,B,B,B,49,1
10007412,1,1,1,6,0,0,1,C,B,B,C,B,C,D,25,1
10007415,1,1,2,6,0,0,7,B,B,C,C,B,C,C,36,1
10007417,1,1,16,7,0,0,5,C,A,B,B,A,D,C,28,1
10007423,1,1,8,5,0,0,0,C,A,B,B,A,D,C,26,1
10007436,1,1,1,5,1,0,6,B,A,B,C,A,C,D,28,1
10007456,1,1,7,5,0,0,4,B,B,D,D,B,B,C,49,1
10007486,1,1,2,5,0,0,4,B,B,B,D,B,C,B,33,1
10007520,1,1,3,6,0,0,2,B,A,C,D,A,C,C,31,1
10007569,1,1,2,6,0,0,10,B,A,D,D,A,C,C,27,1
10007570,1,1,10,5,0,0,1,A,A,B,C,A,A,C,39,1
10007629,1,1,3,5,0,0,1,B,A,D,D,B,B,B,39,1
10007655,2,1,7,5,1,0,1,B,B,D,C,B,B,C,49.5,1
10007695,1,1,7,7,0,0,1,C,B,D,D,B,C,D,39,1
10007748,1,1,9,4,0,0,6,B,B,D,D,B,C,B,48,1
10007759,1,1,9,4,0,0,1,B,B,B,B,A,C,B,22,1
10007777,1,1,15,7,0,0,3,B,B,C,D,B,C,B,36,1
10007854,2,1,5,5,1,0,8,B,B,E,D,B,A,E,46,1
10007864,1,1,4,7,0,0,2,B,B,B,B,B,B,C,28,1
10007878,1,1,5,5,0,0,0,C,B,C,D,B,B,D,29,1
10007883,1,1,1,5,0,0,4,C,A,B,C,A,C,B,26,1
10007906,1,1,7,4,0,0,7,B,B,D,D,B,B,B,47,1
10007927,1,1,7,5,0,0,4,C,A,B,B,A,D,C,24,1
10007930,2,1,1,5,0,0,8,B,B,B,C,B,C,D,40,1
10007971,1,1,3,5,0,0,1,B,B,B,C,B,C,B,46,1
10008002,1,1,7,6,0,0,5,B,A,C,D,B,A,B,45,1
10008101,1,1,4,6,1,0,4,B,A,D,D,B,B,D,35,1
10008114,1,1,4,4,0,0,7,B,B,C,D,B,B,B,33,1
10008130,1,1,5,6,1,0,10,B,A,B,C,A,C,D,35,1
10008132,1,1,5,7,0,0,9,B,B,C,D,A,B,C,35,1
10008171,1,1,1,6,0,0,1,B,A,B,D,B,B,D,38,1
10008232,2,1,1,5,0,0,1,B,A,D,D,B,C,B,34,1
10008243,1,1,6,4,0,0,7,B,B,D,D,B,B,C,42,1
10008281,1,1,4,7,0,0,4,C,A,D,D,A,D,D,31,1
10008287,1,1,2,7,0,0,2,B,A,D,D,B,C,C,24,1
10008315,1,1,1,4,0,0,3,B,B,D,D,B,B,B,46,1
10008321,1,1,6,5,0,0,2,B,B,D,D,B,B,D,35,1
10008322,1,1,12,6,0,0,6,B,B,C,C,B,C,C,45,1
10008434,1,1,11,5,0,0,2,A,A,B,D,A,A,B,42,1
10008439,1,1,3,5,0,0,2,B,A,C,D,B,C,D,40,1
10008443,1,1,7,7,0,0,5,C,B,D,D,B,C,D,34.5,1
10008450,1,1,8,5,1,0,2,B,B,E,D,B,A,C,43,1
10008487,1,1,1,5,0,0,5,B,B,C,D,A,C,C,45,1
10008502,1,1,8,6,1,0,1,B,A,B,D,A,C,D,42,1
10008526,1,1,12,6,0,0,4,A,A,D,D,A,A,C,33,1
10008530,1,1,10,6,0,0,6.09394972975809,B,B,D,D,B,C,B,54,1
10008541,1,1,7,6,0,0,3,B,B,C,C,B,C,C,53,1
10008556,1,1,9,5,0,0,6,C,B,D,D,B,A,B,37,1
10008566,1,1,7,7,0,0,5,B,B,E,D,B,C,E,34,1
10008586,1,1,12,4,0,0,7,A,A,B,C,A,A,D,29,1
10008644,1,1,7,6,0,0,3,B,B,D,D,B,C,D,32,1
