customer_ID,group_size,homeowner,car_age,car_value,risk_factor,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost,age_average
10000105,1,0,11,7,3,0,3,5,1,0,3,2,0,1,2,653,20
10000107,1,0,12,6,4,0,3,2,1,1,1,2,1,2,3,608,41
10000108,1,0,11,7,3,0,3,5,1,0,2,3,0,1,1,692,21
10000111,1,1,10,6,2,0,3,8,1,1,3,3,0,2,3,657,22
10000112,1,1,3,6,3,0,NA,6.09394972975809,1,0,4,3,1,1,3,688,41
10000113,1,0,15,6,2,0,3,15,1,1,3,3,1,1,2,600,55
10000115,2,1,11,7,3,1,2,9,1,0,3,2,0,0,1,558,36.5
10000116,1,0,14,5,0,0,4,7,0,0,3,3,0,0,3,597,25
10000117,1,1,13,5,1,0,3,5,1,0,3,2,1,0,2,571,70
10000118,1,0,3,5,2,0,3,9,1,1,3,3,1,0,2,648,25
10000121,1,0,4,6,0,0,1,1,1,0,1,3,0,2,1,667,39
10000122,1,0,6,4,0,0,1,4,2,1,1,2,1,3,2,666,21
10000123,1,1,4,7,3,0,4,7,1,0,4,3,0,1,1,617,37
10000124,4,1,19,4,1,1,3,15,0,1,3,3,0,0,1,538,45
10000125,1,1,1,6,2,0,3,12,1,1,1,3,1,2,4,603,52
10000126,2,0,8,6,0,1,3,4,1,1,3,2,1,1,4,659,37
10000127,1,1,1,5,1,0,3,4,1,0,3,3,0,2,3,597,71
10000128,1,0,18,3,0,0,2,5,0,1,2,3,0,0,2,573,24
10000129,1,0,12,7,4,0,1,1,1,1,1,2,1,2,2,665,54
10000130,2,0,12,4,4,1,2,8,1,0,2,3,0,2,4,628,39.5
10000131,1,1,8,4,0,0,1,15,2,1,1,3,1,2,4,644,47
10000132,1,0,10,5,0,1,2,1,2,0,2,3,0,2,3,642,22.5
10000133,1,0,2,8,4,0,4,1,1,1,4,3,0,2,2,622,25
10000134,1,0,7,6,0,0,3,1,1,0,2,3,1,0,2,645,42
10000135,1,0,7,4,0,0,1,1,0,1,1,1,0,0,1,631,20
10000136,2,0,15,5,0,0,3,2,0,0,3,3,0,0,3,599,43.5
10000137,2,1,22,5,0,1,2,1,1,0,2,3,0,2,2,639,43
10000138,2,0,2,5,3,1,3,5,1,1,3,3,0,2,3,621,55
10000139,1,0,1,4,3,0,3,7,2,1,3,3,1,2,4,647,32
10000141,2,1,1,7,3,1,3,2,1,0,3,3,1,2,4,625,62.5
10000143,1,1,15,4,0,0,1,1,0,0,2,3,0,0,2,567,44
10000144,1,1,9,5,3,0,4,5,2,1,4,3,1,2,3,617,75
10000145,1,0,6,5,3,0,1,13,1,1,1,3,1,2,2,610,62
10000147,1,1,6,5,0,0,4,2,1,0,3,3,1,0,1,668,28
10000148,2,1,12,5,4,1,1,3,1,1,2,2,1,2,3,625,33.5
10000150,1,1,5,6,2,1,2,15,1,0,2,2,0,0,2,612,72.5
10000151,1,1,14,5,1,0,3,15,1,1,3,3,0,2,1,596,75
10000152,1,0,17,4,4,0,1,0,0,0,1,1,0,0,1,584,25
10000154,1,1,10,6,0,0,1,3,0,0,3,3,0,0,1,714,45
10000155,1,0,3,6,1,0,3,15,1,0,3,2,0,0,1,590,65
10000156,1,0,7,5,0,0,4,2,2,1,1,2,1,1,4,678,21
10000158,1,0,9,7,4,0,1,3,2,1,2,2,1,3,3,703,22
10000159,1,0,7,4,0,0,1,1,1,0,1,2,1,2,1,727,22
10000160,1,1,4,6,3,0,4,14,1,1,4,3,0,1,2,607,45
10000161,1,0,13,4,3,0,3,6,0,0,2,2,0,0,2,629,21
10000162,1,1,1,7,3,0,3,9,1,0,3,2,1,0,2,644,33
10000163,1,1,9,5,0,0,1,4,1,1,1,1,1,2,2,671,54
10000164,1,1,6,4,3,0,3,6,1,1,3,3,1,0,2,709,52
10000165,1,1,16,5,0,1,3,1,2,1,2,3,0,3,1,590,55
10000167,1,0,9,7,4,0,1,1,1,0,2,3,0,2,1,686,23
10000168,1,0,12,7,0,0,3,7,1,0,2,3,0,2,2,668,38
10000169,1,1,7,6,0,0,3,7,1,0,3,2,1,1,2,655,67
10000170,1,1,4,5,2,0,4,9,1,1,4,3,1,1,3,662,56
10000172,1,0,13,6,0,0,3,10,0,1,3,3,0,0,3,577,26
10000173,1,0,4,7,2,0,4,6,2,1,4,3,1,2,3,745,21
10000176,1,0,18,4,1,0,1,13,0,0,1,2,0,0,3,625,61
10000178,1,0,8,6,0,0,1,2,0,0,1,2,0,0,1,644,22
10000179,1,0,11,6,4,0,2,15,1,1,2,3,1,1,1,614,31
10000180,1,0,9,6,3,0,1,8,2,1,1,3,1,3,3,654,49
10000182,1,1,5,6,0,0,3,3,1,0,2,2,0,1,4,618,42
10000183,1,0,3,5,3,0,4,13,1,1,3,3,1,2,3,634,57
10000184,1,1,8,4,2,0,3,15,1,0,3,3,0,1,3,612,64
10000187,1,0,6,4,0,0,3,10,1,1,2,3,0,1,2,634,27
10000188,2,0,2,8,1,1,3,1,1,1,3,3,1,2,4,587,64
10000189,1,0,7,4,0,0,1,4,1,0,1,2,0,2,2,690,18
10000190,1,1,12,7,3,0,2,4,1,1,2,2,1,1,4,661,63
10000191,1,1,2,6,1,1,3,8,1,0,3,2,1,2,4,654,75
10000192,1,0,7,4,3,0,1,2,1,1,1,1,0,2,1,768,20
10000193,1,0,1,5,0,0,3,3,1,0,2,3,0,2,4,687,21
10000194,1,1,7,5,3,0,4,15,2,0,4,3,1,0,2,615,52
10000197,1,0,9,4,3,0,2,1,0,1,2,2,0,0,2,669,23
10000198,1,1,8,5,1,0,3,5,1,1,3,3,0,2,1,583,35
10000200,1,0,9,8,1,0,1,3,2,1,3,3,1,3,2,584,46
10000203,1,1,1,6,2,0,3,7,1,1,3,3,1,1,1,636,66
10000205,2,1,3,7,2,1,3,13,1,0,3,3,0,1,3,629,37.5
10000206,1,0,0,5,0,0,1,0,1,1,1,2,1,2,3,661,30
10000208,1,1,4,4,0,0,4,3,2,0,3,3,1,1,2,653,25
10000209,2,1,7,7,4,0,4,4,2,0,4,3,0,0,2,666,37.5
10000210,2,1,10,6,3,1,2,8,1,0,2,3,0,2,1,572,75
10000211,1,1,16,6,4,0,1,10,0,0,3,3,0,0,2,550,35
10000212,1,0,13,4,1,0,3,15,0,0,3,3,0,2,1,585,75
10000214,1,0,16,5,0,0,1,2,0,0,1,1,0,0,1,623,26
10000215,1,1,16,5,4,0,3,14,0,0,3,3,0,2,3,647,68
10000216,1,1,12,5,4,0,1,9,2,0,1,3,1,2,3,625,52
10000217,1,1,7,4,3,1,1,6,2,0,1,2,0,3,3,674,73.5
10000218,2,1,8,5,1,0,2,2,2,1,2,2,0,3,3,621,39.5
10000220,1,1,10,7,0,0,NA,6.09394972975809,0,0,1,1,0,0,2,589,41.5
10000221,1,0,15,4,3,0,2,0,0,0,2,2,0,0,1,572,24
10000224,1,0,4,6,3,0,2,1,1,0,3,3,0,0,2,697,22
10000227,1,0,11,5,0,0,3,6,1,0,3,3,0,1,1,653,23
10000228,1,1,11,4,0,0,3,6,1,0,3,3,1,2,1,649,44
10000229,1,0,5,6,0,0,2,2,2,1,1,1,0,2,2,698,33
10000230,2,1,10,5,0,1,3,1,1,0,3,3,0,2,2,677,34
10000236,2,0,7,6,0,0,1,2,1,1,1,2,1,2,2,700,30.5
10000239,2,1,1,5,2,1,2,3,1,1,2,3,1,1,3,671,33
10000240,1,0,6,7,4,0,4,2,1,1,4,3,1,0,2,659,54
10000242,1,0,9,6,2,0,2,6,1,1,2,2,1,1,2,591,52
10000243,1,0,18,4,2,0,1,12,0,0,1,2,0,0,4,623,28
10000245,1,1,17,5,1,0,3,15,1,0,3,3,1,2,3,607,44
10000246,1,1,7,4,2,0,2,6,1,1,2,3,1,2,4,684,32
10000248,1,1,4,5,0,0,3,3,1,1,3,2,0,1,2,692,20
10000250,2,0,3,4,0,1,2,2,1,1,1,1,1,2,2,673,60.5
10000252,1,1,8,6,4,0,1,7,1,0,1,3,1,2,3,694,31
10000253,1,0,2,5,0,0,3,2,1,1,3,3,1,2,1,712,43
10000254,2,1,18,5,0,1,2,3,0,0,1,2,0,0,3,575,27
10000255,2,0,14,5,3,0,3,15,0,0,1,2,0,0,3,678,54
10000256,1,1,2,5,3,0,1,2,1,1,2,2,0,1,2,654,54
10000259,2,1,1,4,4,0,1,14,2,0,3,3,1,1,2,623,39
10000261,1,1,6,5,4,0,3,6,2,1,3,3,1,2,1,622,32
10000262,1,0,11,4,0,0,1,2,0,0,1,1,0,0,2,608,36
10000263,1,0,7,4,3,0,2,1,2,0,2,2,1,1,1,624,26
10000264,1,0,4,7,4,0,3,3,1,1,3,3,1,0,2,698,70
10000265,1,1,10,8,0,0,1,2,1,1,1,3,0,2,2,683,55
10000266,1,0,5,5,0,0,2,1,0,0,1,3,0,0,2,621,27
10000269,1,0,6,3,0,0,2,2,1,1,1,2,0,2,2,651,24
10000271,2,1,10,7,0,1,3,12,1,1,3,3,1,1,2,618,37
10000275,1,1,10,6,0,0,4,8,1,1,3,3,1,1,2,704,36
10000277,1,1,12,4,1,0,1,9,1,0,1,2,1,2,3,583,73
10000278,1,1,7,6,1,0,3,3,1,1,3,2,1,2,1,626,52
10000281,1,1,6,5,0,0,1,3,2,0,1,3,0,3,2,709,75
10000282,1,0,8,5,4,0,3,6,1,1,3,3,1,2,1,602,57
10000283,1,1,8,4,0,0,2,2,1,0,1,1,1,2,3,592,41
10000284,1,0,6,6,2,0,3,4,1,1,3,3,1,2,3,598,33
10000287,1,1,8,7,2,0,4,7,2,0,4,3,0,1,2,576,61
10000288,2,0,15,4,0,1,1,1,0,0,1,2,0,0,2,574,45
10000293,1,0,7,5,2,0,3,15,1,0,3,2,1,1,2,666,51
10000294,4,0,12,6,3,1,4,7,1,1,2,3,1,2,3,670,40
10000295,2,1,11,3,4,1,3,4,1,0,3,2,0,2,1,672,63.5
10000299,2,1,1,4,0,0,2,3,1,1,2,2,1,2,1,727,28.5
10000305,1,0,14,4,3,0,4,1,1,1,3,3,1,1,3,721,23
10000306,1,0,11,4,1,0,4,3,1,1,4,3,1,2,3,635,30
10000307,2,1,11,5,1,1,4,1,1,1,4,3,1,1,4,697,73
10000308,2,1,5,4,0,1,3,3,1,1,3,3,1,0,2,621,33.5
10000310,1,0,14,4,0,0,3,5,0,1,3,3,0,0,3,585,24
10000311,1,1,6,5,1,0,2,7,1,1,2,3,1,2,3,603,63
10000314,1,1,5,4,1,1,4,2,1,0,4,3,1,0,3,587,62.5
10000316,2,0,14,6,1,1,2,15,0,0,3,3,1,0,3,617,49.5
10000318,1,1,9,5,4,0,1,8,0,0,2,3,0,0,3,589,51
10000320,2,1,11,6,4,1,1,3,1,1,2,2,1,1,1,629,25.5
10000321,1,1,16,5,4,0,3,4,1,1,3,3,1,1,4,638,46
10000324,1,0,12,7,0,0,1,2,0,0,1,2,0,0,2,591,40
10000330,1,1,5,5,1,0,3,9,1,0,3,3,0,2,2,627,31.5
10000331,1,1,10,6,0,0,3,6,1,0,3,3,1,2,1,667,28
10000332,1,0,12,5,3,0,4,1,1,0,1,2,0,2,3,722,18
10000334,1,0,15,5,4,0,1,1,0,1,1,3,0,0,1,612,72
10000335,1,0,11,7,0,0,2,3,1,1,2,2,0,2,1,691,43
10000336,2,1,3,7,2,1,4,4,1,0,2,3,0,2,3,667,45.5
10000337,1,0,10,6,2,0,3,7,1,1,3,3,1,0,2,668,25
10000338,1,1,3,6,3,0,3,0,1,1,3,3,0,2,1,605,49
10000339,1,1,6,6,2,0,1,6,1,0,3,2,1,1,3,667,75
10000344,2,1,1,5,1,0,3,6,1,1,3,3,1,0,3,679,70.5
10000345,1,1,1,6,0,0,4,5,1,0,4,3,0,2,3,601,36
10000346,1,0,2,7,1,0,4,1,1,1,4,3,1,1,3,631,29
10000347,1,0,6,5,3,0,3,5,1,1,2,3,1,2,1,659,25
10000348,2,1,6,7,2,1,4,2,1,1,3,3,1,2,3,615,75
10000349,1,1,11,5,4,0,3,7,1,0,3,3,1,0,4,638,26
10000350,1,1,12,5,1,0,1,15,1,0,1,1,0,2,3,580,70
10000351,1,1,13,5,4,0,1,7,1,1,1,1,1,2,2,577,63
10000353,1,0,8,5,0,0,3,4,1,0,3,3,0,2,1,704,19
10000354,1,1,8,6,1,0,4,6,1,1,4,3,1,0,2,607,59
10000355,1,1,14,4,3,0,3,15,1,1,3,3,0,1,3,603,67
10000357,2,1,16,6,3,0,2,3,1,0,2,3,0,1,3,654,34.5
10000359,1,1,1,5,1,0,3,4,2,0,3,3,1,3,3,643,27
10000360,1,0,11,6,3,0,2,5,0,1,2,3,0,0,3,609,49
10000361,1,0,2,6,0,0,4,8,1,0,4,3,1,1,3,665,32
10000362,1,0,18,5,0,0,3,2,0,0,1,2,0,0,2,657,19
10000363,1,0,2,4,3,0,3,2,1,0,3,3,1,2,2,681,24
10000365,1,0,5,7,1,0,3,15,1,1,3,3,0,0,4,640,47
10000367,1,1,9,6,1,0,3,13,1,1,3,3,0,2,3,645,28
10000368,1,1,3,5,1,0,3,13,1,1,3,3,1,2,3,654,49
10000369,1,0,10,7,4,0,3,3,1,0,3,3,1,0,1,672,25
10000371,1,0,1,5,0,0,2,5,1,1,2,2,1,2,1,671,24.5
10000374,2,1,1,5,1,1,3,3,1,1,3,2,1,0,1,660,63.5
10000375,1,0,8,4,3,0,1,3,1,0,1,1,0,2,2,667,19
10000376,2,1,19,5,0,0,3,3,0,0,2,2,0,0,4,632,36
10000377,1,1,6,5,4,0,3,5,1,0,3,3,0,2,1,618,27
10000378,1,1,1,9,2,0,1,3,2,0,1,1,1,0,2,744,47
10000379,2,1,7,4,0,1,1,2,1,1,1,3,0,2,1,571,25
10000381,1,1,6,5,1,0,3,15,1,1,3,3,0,1,3,567,71
10000383,1,1,3,6,1,0,3,10,1,1,3,3,1,1,4,670,39
10000385,1,1,1,6,3,0,2,4,1,1,2,2,1,2,3,649,37
10000386,2,0,6,4,3,1,4,2,1,0,2,3,0,0,1,652,23
10000388,2,1,1,7,1,1,3,14,1,0,3,3,0,0,2,648,55
10000389,2,0,1,7,1,1,2,15,1,0,2,3,1,2,3,619,71.5
10000391,2,1,5,7,2,1,3,2,2,0,3,3,0,3,3,620,52
10000392,1,1,7,5,2,0,3,7,1,0,3,3,0,0,2,589,65
10000393,1,0,7,8,2,0,3,2,2,1,3,3,0,0,2,697,25
10000394,1,0,1,5,4,0,3,8,1,0,3,3,1,1,3,674,23
10000395,2,0,2,6,3,1,3,4,2,0,3,3,1,0,3,652,28
10000396,1,0,3,6,0,0,3,13,1,0,3,2,0,1,1,622,28
10000397,1,1,6,5,0,0,2,3,1,1,3,3,1,1,2,646,60
10000398,1,1,4,6,2,0,1,4,1,0,2,3,0,2,3,633,70
10000400,1,0,10,6,4,0,3,9,0,1,3,3,0,0,3,586,30
10000401,1,0,8,4,0,0,4,2,2,1,1,2,1,2,3,597,32
10000402,2,1,6,7,0,1,1,0,1,0,1,1,1,2,1,748,27.5
10000403,2,0,7,6,0,1,4,6,1,1,1,2,1,2,2,659,26
10000404,1,1,2,6,3,0,3,7,1,1,3,3,1,0,1,637,62
10000405,1,0,2,5,2,0,1,4,1,0,3,3,1,2,2,679,42
10000406,2,0,0,8,2,1,NA,6.09394972975809,2,0,3,3,0,0,1,733,28
10000407,1,1,5,6,4,0,3,1,2,0,3,3,1,3,3,706,41
10000408,1,0,1,6,2,0,3,5,2,0,3,3,1,0,3,685,25
10000410,1,0,6,6,3,0,1,1,2,1,1,1,1,3,1,669,75
10000411,1,0,12,6,0,0,2,2,0,0,2,3,0,0,2,614,28
10000412,1,1,14,6,1,0,4,15,1,0,3,3,1,0,2,640,52
10000415,2,1,10,8,4,1,1,15,0,0,1,2,0,0,2,544,56
10000416,1,1,1,5,2,0,1,1,1,1,1,2,1,1,3,622,32
10000417,1,0,1,6,2,0,1,15,1,1,3,3,1,1,3,698,33
10000418,1,0,2,5,0,0,1,1,2,0,1,1,1,0,1,706,24
10000420,2,1,14,5,0,1,1,1,0,0,1,1,0,0,2,568,47
10000422,1,0,18,4,4,0,1,2,0,0,1,1,0,0,2,632,33
10000423,1,0,15,6,0,0,1,7,2,0,1,3,0,2,3,614,35
10000425,1,1,14,5,1,0,3,3,0,0,2,3,0,0,2,505,48
10000426,2,0,3,6,0,1,2,7,1,1,2,3,1,2,4,630,32.5
10000428,1,1,11,5,0,0,2,0,1,1,1,3,1,2,2,646,59
10000429,1,1,8,6,3,0,3,9,2,0,3,3,0,1,3,625,49
10000430,1,1,10,5,2,1,4,1,1,0,3,2,0,1,1,606,74
10000433,1,0,8,4,2,0,3,4,1,0,3,3,0,0,2,612,61
10000435,1,1,1,4,0,0,1,0,1,1,1,1,1,2,4,641,68
10000437,1,0,11,6,3,0,1,3,0,0,1,2,0,0,2,604,25
10000441,1,0,14,5,4,0,1,15,0,0,1,3,0,1,4,671,58
10000443,1,0,7,4,0,0,3,3,0,0,2,3,1,1,2,651,20
10000444,1,0,9,5,4,0,2,2,1,0,2,2,1,2,1,707,23
10000445,1,1,19,5,2,0,3,15,0,0,3,3,0,0,2,612,75
10000446,1,0,11,5,1,0,2,15,0,0,1,2,0,0,1,545,74
10000447,1,0,3,6,0,0,1,1,1,1,1,1,1,1,1,704,30
10000449,2,1,3,8,3,1,3,15,1,1,3,3,1,0,2,627,42.5
10000450,1,0,1,5,2,0,4,6,1,1,3,3,1,2,1,659,22
10000451,2,1,4,6,0,1,3,15,1,1,3,2,0,1,2,660,52.5
10000452,1,0,4,5,3,0,3,2,1,0,1,3,0,1,3,639,24
10000453,1,1,8,6,0,0,3,9,1,0,3,3,0,2,1,627,24
10000454,1,0,13,6,4,0,3,2,1,0,3,3,0,2,2,595,42
10000455,1,1,11,5,1,0,3,11,0,0,3,3,0,0,2,535,63
10000457,1,0,13,4,2,0,3,1,1,1,2,2,0,2,4,646,23
10000458,1,1,4,5,3,0,3,7,1,1,1,2,1,2,4,641,73
10000459,1,1,9,5,0,0,1,1,1,1,1,1,1,2,3,656,50
10000460,2,1,14,6,0,0,2,1,1,1,2,3,0,2,3,666,29
10000463,1,1,24,5,2,0,3,15,0,0,3,3,0,0,3,548,75
10000465,2,0,17,4,2,0,4,3,0,1,4,3,0,0,2,669,27
10000468,2,0,10,6,0,1,3,0,1,1,3,3,1,1,2,631,55.5
10000469,2,1,9,8,2,1,2,4,0,0,2,2,0,0,1,564,67
10000471,2,1,7,6,4,1,4,11,1,0,4,3,1,2,3,611,62
10000473,2,1,18,4,0,0,2,1,0,0,2,3,0,0,2,660,33
10000474,1,1,3,7,4,0,3,3,1,1,3,3,1,2,1,616,67
10000476,1,0,9,4,0,0,NA,6.09394972975809,1,1,2,2,1,1,1,613,22
10000478,1,0,2,5,4,0,1,1,2,1,3,3,1,1,4,669,45
10000479,2,1,17,5,1,1,4,10,0,1,1,3,0,0,3,583,75
10000481,1,0,13,4,0,0,1,1,0,0,1,3,0,0,1,560,44
10000482,1,0,9,5,0,0,2,15,1,1,3,3,0,2,2,647,50
10000483,1,1,2,7,1,0,4,4,1,1,4,3,1,0,4,666,71
10000484,1,1,2,6,1,0,3,10,1,1,3,3,1,2,3,644,49
10000485,1,1,7,5,0,0,1,3,1,1,1,1,1,2,1,662,26
10000486,1,1,12,5,0,0,3,3,1,0,3,2,0,2,1,580,42
10000487,2,0,12,6,0,1,3,6,0,1,1,1,0,0,2,605,21
10000488,1,0,5,7,2,0,2,1,1,0,2,3,1,2,3,671,24
10000489,1,1,21,5,0,0,1,2,0,1,1,3,0,0,2,631,46
10000490,1,0,2,5,4,1,1,13,2,0,1,2,0,2,2,601,46.5
10000491,1,1,3,5,0,0,3,12,1,0,3,3,1,2,1,626,62
10000494,1,0,16,5,3,0,3,7,1,0,2,2,0,2,2,601,29
10000495,2,1,14,4,4,1,3,11,0,0,3,3,0,0,4,606,41
10000497,2,1,6,6,2,0,3,9,1,1,4,3,1,2,3,630,53
10000499,2,0,6,5,3,1,2,15,1,1,2,3,1,2,3,591,30.5
10000500,1,0,3,7,0,0,3,0,1,1,3,3,1,1,4,669,45
10000501,1,1,12,5,4,0,1,5,1,0,2,3,0,2,4,619,25
10000502,2,0,2,5,3,0,2,2,1,1,2,2,1,2,1,687,38.5
10000504,1,0,6,5,1,0,3,1,1,0,3,2,0,0,3,616,61
10000505,2,1,2,5,4,1,3,5,1,0,3,3,0,1,4,604,43
10000509,2,1,14,5,0,1,2,15,0,0,1,3,0,0,2,547,39.5
10000510,1,1,12,6,1,0,4,7,1,1,4,3,0,1,3,606,75
10000511,2,1,5,4,1,1,3,2,1,0,3,3,1,2,1,663,71
10000512,1,0,11,7,3,0,4,2,1,0,1,2,0,2,2,625,20
10000516,1,1,8,6,0,0,3,5,1,0,3,3,0,2,1,655,70
10000518,1,1,6,7,1,0,3,10,2,0,3,3,0,1,2,646,68
10000521,1,0,11,6,3,0,3,4,1,0,3,2,1,1,2,632,36
10000529,1,0,2,5,0,0,2,0,2,0,2,3,0,2,2,684,25
10000532,1,0,1,8,2,0,3,0,1,1,3,2,1,0,2,718,45
10000533,1,0,2,8,1,0,1,6,1,1,3,3,1,0,1,690,43
10000534,1,0,8,7,0,0,3,1,1,1,3,3,0,1,1,646,51
10000537,1,1,10,7,4,0,1,15,2,1,1,1,0,3,2,619,35
10000538,1,0,2,7,0,0,NA,6.09394972975809,2,1,2,2,0,3,2,756,22
10000541,2,1,10,6,3,1,4,6,1,0,4,3,1,2,3,661,61
10000543,2,1,8,4,4,1,3,8,0,0,3,3,0,0,2,562,24
10000546,1,0,5,4,0,0,2,1,1,1,3,3,1,2,3,668,21
10000547,1,0,10,6,1,1,2,15,1,1,2,2,1,2,3,633,69.5
10000548,1,0,19,3,0,0,2,0,0,1,2,2,0,0,2,603,49
10000549,2,1,11,6,1,1,4,3,2,0,4,3,1,2,4,586,66.5
10000550,1,0,0,6,1,0,3,5,2,0,3,3,0,1,3,604,54
10000551,1,0,7,7,4,0,3,3,2,0,1,3,0,2,3,628,22
10000552,1,1,6,8,2,0,4,7,1,0,4,3,1,1,3,648,43
10000558,2,0,4,6,3,1,3,4,1,1,3,3,1,2,4,721,61.5
10000561,1,1,12,5,2,0,4,11,1,0,4,3,1,1,3,588,68
10000562,1,1,9,6,4,0,1,5,2,1,1,3,1,2,3,623,54
10000563,1,0,6,5,0,0,3,5,0,1,3,3,1,2,2,651,24
10000565,1,0,16,4,0,0,3,1,0,0,3,3,0,0,1,633,19
10000566,1,1,8,4,2,0,2,15,1,1,2,2,1,1,3,660,69
10000567,2,1,3,6,0,1,3,15,1,0,3,3,0,1,2,625,66.5
10000568,2,1,3,5,4,1,3,3,1,1,3,3,1,0,2,736,57.5
10000569,1,1,1,5,4,0,3,3,1,1,3,2,1,1,3,637,25
10000571,1,1,6,6,2,0,1,2,1,0,1,2,0,0,2,637,63
10000572,2,0,2,3,0,1,2,6,2,1,2,3,0,0,1,629,37
10000573,1,0,10,6,0,0,1,1,1,1,3,3,1,2,1,578,41
10000574,1,0,5,5,2,0,2,6,1,1,2,3,0,0,3,627,25
