customer_ID,group_size,homeowner,car_age,car_value,risk_factor,married_couple,duration_previous,A,B,C,D,E,F,G,age_average
10000179,1,0,11,f,4,0,15,1,1,2,3,1,1,1,31
10000180,1,0,9,f,3,0,8,2,1,1,3,1,3,3,49
10000182,1,1,5,f,0,0,3,1,0,2,2,0,1,4,42
10000183,1,0,3,e,3,0,13,1,1,3,3,1,2,3,57
10000184,1,1,8,d,2,0,15,1,0,3,3,0,1,3,64
10000187,1,0,6,d,0,0,10,1,1,2,3,0,1,2,27
10000188,2,0,2,h,1,1,1,1,1,3,3,1,2,4,64
10000189,1,0,7,d,0,0,4,1,0,1,2,0,2,2,18
10000190,1,1,12,g,3,0,4,1,1,2,2,1,1,4,63
10000191,1,1,2,f,1,1,8,1,0,3,2,1,2,4,75
10000192,1,0,7,d,3,0,2,1,1,1,1,0,2,1,20
10000193,1,0,1,e,0,0,3,1,0,2,3,0,2,4,21
10000194,1,1,7,e,3,0,15,2,0,4,3,1,0,2,52
10000197,1,0,9,d,3,0,1,0,1,2,2,0,0,2,23
10000198,1,1,8,e,1,0,5,1,1,3,3,0,2,1,35
10000200,1,0,9,h,1,0,3,2,1,3,3,1,3,2,46
10000203,1,1,1,f,2,0,7,1,1,3,3,1,1,1,66
10000205,2,1,3,g,2,1,13,1,0,3,3,0,1,3,37.5
10000206,1,0,0,e,0,0,0,1,1,1,2,1,2,3,30
10000208,1,1,4,d,0,0,3,2,0,3,3,1,1,2,25
10000209,2,1,7,g,4,0,4,2,0,4,3,0,0,2,37.5
10000210,2,1,10,f,3,1,8,1,0,2,3,0,2,1,75
10000211,1,1,16,f,4,0,10,0,0,3,3,0,0,2,35
10000212,1,0,13,d,1,0,15,0,0,3,3,0,2,1,75
10000214,1,0,16,e,0,0,2,0,0,1,1,0,0,1,26
10000215,1,1,16,e,4,0,14,0,0,3,3,0,2,3,68
10000216,1,1,12,e,4,0,9,2,0,1,3,1,2,3,52
10000217,1,1,7,d,3,1,6,2,0,1,2,0,3,3,73.5
10000218,2,1,8,e,1,0,2,2,1,2,2,0,3,3,39.5
10000220,1,1,10,g,0,0,6.09394972975809,0,0,1,1,0,0,2,41.5
10000221,1,0,15,d,3,0,0,0,0,2,2,0,0,1,24
10000224,1,0,4,f,3,0,1,1,0,3,3,0,0,2,22
10000227,1,0,11,e,0,0,6,1,0,3,3,0,1,1,23
10000228,1,1,11,d,0,0,6,1,0,3,3,1,2,1,44
10000229,1,0,5,f,0,0,2,2,1,1,1,0,2,2,33
10000230,2,1,10,e,0,1,1,1,0,3,3,0,2,2,34
10000236,2,0,7,f,0,0,2,1,1,1,2,1,2,2,30.5
10000239,2,1,1,e,2,1,3,1,1,2,3,1,1,3,33
10000240,1,0,6,g,4,0,2,1,1,4,3,1,0,2,54
10000242,1,0,9,f,2,0,6,1,1,2,2,1,1,2,52
10000243,1,0,18,d,2,0,12,0,0,1,2,0,0,4,28
10000245,1,1,17,e,1,0,15,1,0,3,3,1,2,3,44
10000246,1,1,7,d,2,0,6,1,1,2,3,1,2,4,32
10000248,1,1,4,e,0,0,3,1,1,3,2,0,1,2,20
10000250,2,0,3,d,0,1,2,1,1,1,1,1,2,2,60.5
10000252,1,1,8,f,4,0,7,1,0,1,3,1,2,3,31
10000253,1,0,2,e,0,0,2,1,1,3,3,1,2,1,43
10000254,2,1,18,e,0,1,3,0,0,1,2,0,0,3,27
10000255,2,0,14,e,3,0,15,0,0,1,2,0,0,3,54
10000256,1,1,2,e,3,0,2,1,1,2,2,0,1,2,54
10000259,2,1,1,d,4,0,14,2,0,3,3,1,1,2,39
10000261,1,1,6,e,4,0,6,2,1,3,3,1,2,1,32
10000262,1,0,11,d,0,0,2,0,0,1,1,0,0,2,36
10000263,1,0,7,d,3,0,1,2,0,2,2,1,1,1,26
10000264,1,0,4,g,4,0,3,1,1,3,3,1,0,2,70
10000265,1,1,10,h,0,0,2,1,1,1,3,0,2,2,55
10000266,1,0,5,e,0,0,1,0,0,1,3,0,0,2,27
10000269,1,0,6,c,0,0,2,1,1,1,2,0,2,2,24
10000271,2,1,10,g,0,1,12,1,1,3,3,1,1,2,37
10000275,1,1,10,f,0,0,8,1,1,3,3,1,1,2,36
10000277,1,1,12,d,1,0,9,1,0,1,2,1,2,3,73
10000278,1,1,7,f,1,0,3,1,1,3,2,1,2,1,52
10000281,1,1,6,e,0,0,3,2,0,1,3,0,3,2,75
10000282,1,0,8,e,4,0,6,1,1,3,3,1,2,1,57
10000283,1,1,8,d,0,0,2,1,0,1,1,1,2,3,41
10000284,1,0,6,f,2,0,4,1,1,3,3,1,2,3,33
10000287,1,1,8,g,2,0,7,2,0,4,3,0,1,2,61
10000288,2,0,15,d,0,1,1,0,0,1,2,0,0,2,45
10000293,1,0,7,e,2,0,15,1,0,3,2,1,1,2,51
10000294,4,0,12,f,3,1,7,1,1,2,3,1,2,3,40
10000295,2,1,11,c,4,1,4,1,0,3,2,0,2,1,63.5
10000299,2,1,1,d,0,0,3,1,1,2,2,1,2,1,28.5
10000305,1,0,14,d,3,0,1,1,1,3,3,1,1,3,23
10000306,1,0,11,d,1,0,3,1,1,4,3,1,2,3,30
10000307,2,1,11,e,1,1,1,1,1,4,3,1,1,4,73
10000308,2,1,5,d,0,1,3,1,1,3,3,1,0,2,33.5
10000310,1,0,14,d,0,0,5,0,1,3,3,0,0,3,24
10000311,1,1,6,e,1,0,7,1,1,2,3,1,2,3,63
10000314,1,1,5,d,1,1,2,1,0,4,3,1,0,3,62.5
10000316,2,0,14,f,1,1,15,0,0,3,3,1,0,3,49.5
10000318,1,1,9,e,4,0,8,0,0,2,3,0,0,3,51
10000320,2,1,11,f,4,1,3,1,1,2,2,1,1,1,25.5
10000321,1,1,16,e,4,0,4,1,1,3,3,1,1,4,46
10000324,1,0,12,g,0,0,2,0,0,1,2,0,0,2,40
10000330,1,1,5,e,1,0,9,1,0,3,3,0,2,2,31.5
10000331,1,1,10,f,0,0,6,1,0,3,3,1,2,1,28
10000332,1,0,12,e,3,0,1,1,0,1,2,0,2,3,18
10000334,1,0,15,e,4,0,1,0,1,1,3,0,0,1,72
10000335,1,0,11,g,0,0,3,1,1,2,2,0,2,1,43
10000336,2,1,3,g,2,1,4,1,0,2,3,0,2,3,45.5
10000337,1,0,10,f,2,0,7,1,1,3,3,1,0,2,25
10000338,1,1,3,f,3,0,0,1,1,3,3,0,2,1,49
10000339,1,1,6,f,2,0,6,1,0,3,2,1,1,3,75
10000344,2,1,1,e,1,0,6,1,1,3,3,1,0,3,70.5
10000345,1,1,1,f,0,0,5,1,0,4,3,0,2,3,36
10000346,1,0,2,g,1,0,1,1,1,4,3,1,1,3,29
10000347,1,0,6,e,3,0,5,1,1,2,3,1,2,1,25
10000348,2,1,6,g,2,1,2,1,1,3,3,1,2,3,75
10000349,1,1,11,e,4,0,7,1,0,3,3,1,0,4,26
10000350,1,1,12,e,1,0,15,1,0,1,1,0,2,3,70
10000351,1,1,13,e,4,0,7,1,1,1,1,1,2,2,63
10000353,1,0,8,e,0,0,4,1,0,3,3,0,2,1,19
10000354,1,1,8,f,1,0,6,1,1,4,3,1,0,2,59
10000355,1,1,14,d,3,0,15,1,1,3,3,0,1,3,67
10000357,2,1,16,f,3,0,3,1,0,2,3,0,1,3,34.5
10000359,1,1,1,e,1,0,4,2,0,3,3,1,3,3,27
10000360,1,0,11,f,3,0,5,0,1,2,3,0,0,3,49
10000361,1,0,2,f,0,0,8,1,0,4,3,1,1,3,32
10000362,1,0,18,e,0,0,2,0,0,1,2,0,0,2,19
10000363,1,0,2,d,3,0,2,1,0,3,3,1,2,2,24
10000365,1,0,5,g,1,0,15,1,1,3,3,0,0,4,47
10000367,1,1,9,f,1,0,13,1,1,3,3,0,2,3,28
10000368,1,1,3,e,1,0,13,1,1,3,3,1,2,3,49
10000369,1,0,10,g,4,0,3,1,0,3,3,1,0,1,25
10000371,1,0,1,e,0,0,5,1,1,2,2,1,2,1,24.5
10000374,2,1,1,e,1,1,3,1,1,3,2,1,0,1,63.5
10000375,1,0,8,d,3,0,3,1,0,1,1,0,2,2,19
10000376,2,1,19,e,0,0,3,0,0,2,2,0,0,4,36
10000377,1,1,6,e,4,0,5,1,0,3,3,0,2,1,27
10000378,1,1,1,i,2,0,3,2,0,1,1,1,0,2,47
10000379,2,1,7,d,0,1,2,1,1,1,3,0,2,1,25
10000381,1,1,6,e,1,0,15,1,1,3,3,0,1,3,71
10000383,1,1,3,f,1,0,10,1,1,3,3,1,1,4,39
10000385,1,1,1,f,3,0,4,1,1,2,2,1,2,3,37
10000386,2,0,6,d,3,1,2,1,0,2,3,0,0,1,23
10000388,2,1,1,g,1,1,14,1,0,3,3,0,0,2,55
10000389,2,0,1,g,1,1,15,1,0,2,3,1,2,3,71.5
10000391,2,1,5,g,2,1,2,2,0,3,3,0,3,3,52
10000392,1,1,7,e,2,0,7,1,0,3,3,0,0,2,65
10000393,1,0,7,h,2,0,2,2,1,3,3,0,0,2,25
10000394,1,0,1,e,4,0,8,1,0,3,3,1,1,3,23
10000395,2,0,2,f,3,1,4,2,0,3,3,1,0,3,28
10000396,1,0,3,f,0,0,13,1,0,3,2,0,1,1,28
10000397,1,1,6,e,0,0,3,1,1,3,3,1,1,2,60
10000398,1,1,4,f,2,0,4,1,0,2,3,0,2,3,70
10000400,1,0,10,f,4,0,9,0,1,3,3,0,0,3,30
10000401,1,0,8,d,0,0,2,2,1,1,2,1,2,3,32
10000402,2,1,6,g,0,1,0,1,0,1,1,1,2,1,27.5
10000403,2,0,7,f,0,1,6,1,1,1,2,1,2,2,26
10000404,1,1,2,f,3,0,7,1,1,3,3,1,0,1,62
10000405,1,0,2,e,2,0,4,1,0,3,3,1,2,2,42
10000406,2,0,0,h,2,1,6.09394972975809,2,0,3,3,0,0,1,28
10000407,1,1,5,f,4,0,1,2,0,3,3,1,3,3,41
10000408,1,0,1,f,2,0,5,2,0,3,3,1,0,3,25
10000410,1,0,6,f,3,0,1,2,1,1,1,1,3,1,75
10000411,1,0,12,f,0,0,2,0,0,2,3,0,0,2,28
10000412,1,1,14,f,1,0,15,1,0,3,3,1,0,2,52
10000415,2,1,10,h,4,1,15,0,0,1,2,0,0,2,56
10000416,1,1,1,e,2,0,1,1,1,1,2,1,1,3,32
10000417,1,0,1,f,2,0,15,1,1,3,3,1,1,3,33
10000418,1,0,2,e,0,0,1,2,0,1,1,1,0,1,24
10000420,2,1,14,e,0,1,1,0,0,1,1,0,0,2,47
10000422,1,0,18,d,4,0,2,0,0,1,1,0,0,2,33
10000423,1,0,15,f,0,0,7,2,0,1,3,0,2,3,35
10000425,1,1,14,e,1,0,3,0,0,2,3,0,0,2,48
10000426,2,0,3,f,0,1,7,1,1,2,3,1,2,4,32.5
10000428,1,1,11,e,0,0,0,1,1,1,3,1,2,2,59
10000429,1,1,8,f,3,0,9,2,0,3,3,0,1,3,49
10000430,1,1,10,e,2,1,1,1,0,3,2,0,1,1,74
10000433,1,0,8,d,2,0,4,1,0,3,3,0,0,2,61
10000435,1,1,1,d,0,0,0,1,1,1,1,1,2,4,68
10000437,1,0,11,f,3,0,3,0,0,1,2,0,0,2,25
10000441,1,0,14,e,4,0,15,0,0,1,3,0,1,4,58
10000443,1,0,7,d,0,0,3,0,0,2,3,1,1,2,20
10000444,1,0,9,e,4,0,2,1,0,2,2,1,2,1,23
10000445,1,1,19,e,2,0,15,0,0,3,3,0,0,2,75
10000446,1,0,11,e,1,0,15,0,0,1,2,0,0,1,74
10000447,1,0,3,f,0,0,1,1,1,1,1,1,1,1,30
10000449,2,1,3,h,3,1,15,1,1,3,3,1,0,2,42.5
10000450,1,0,1,e,2,0,6,1,1,3,3,1,2,1,22
10000451,2,1,4,f,0,1,15,1,1,3,2,0,1,2,52.5
10000452,1,0,4,e,3,0,2,1,0,1,3,0,1,3,24
10000453,1,1,8,f,0,0,9,1,0,3,3,0,2,1,24
10000454,1,0,13,f,4,0,2,1,0,3,3,0,2,2,42
10000455,1,1,11,e,1,0,11,0,0,3,3,0,0,2,63
10000457,1,0,13,d,2,0,1,1,1,2,2,0,2,4,23
10000458,1,1,4,e,3,0,7,1,1,1,2,1,2,4,73
10000459,1,1,9,e,0,0,1,1,1,1,1,1,2,3,50
10000460,2,1,14,f,0,0,1,1,1,2,3,0,2,3,29
10000463,1,1,24,e,2,0,15,0,0,3,3,0,0,3,75
10000465,2,0,17,d,2,0,3,0,1,4,3,0,0,2,27
10000468,2,0,10,f,0,1,0,1,1,3,3,1,1,2,55.5
10000469,2,1,9,h,2,1,4,0,0,2,2,0,0,1,67
10000471,2,1,7,f,4,1,11,1,0,4,3,1,2,3,62
10000473,2,1,18,d,0,0,1,0,0,2,3,0,0,2,33
10000474,1,1,3,g,4,0,3,1,1,3,3,1,2,1,67
10000476,1,0,9,d,0,0,6.09394972975809,1,1,2,2,1,1,1,22
10000478,1,0,2,e,4,0,1,2,1,3,3,1,1,4,45
10000479,2,1,17,e,1,1,10,0,1,1,3,0,0,3,75
10000481,1,0,13,d,0,0,1,0,0,1,3,0,0,1,44
10000482,1,0,9,e,0,0,15,1,1,3,3,0,2,2,50
10000483,1,1,2,g,1,0,4,1,1,4,3,1,0,4,71
10000484,1,1,2,f,1,0,10,1,1,3,3,1,2,3,49
10000485,1,1,7,e,0,0,3,1,1,1,1,1,2,1,26
10000486,1,1,12,e,0,0,3,1,0,3,2,0,2,1,42
10000487,2,0,12,f,0,1,6,0,1,1,1,0,0,2,21
10000488,1,0,5,g,2,0,1,1,0,2,3,1,2,3,24
10000489,1,1,21,e,0,0,2,0,1,1,3,0,0,2,46
10000490,1,0,2,e,4,1,13,2,0,1,2,0,2,2,46.5
10000491,1,1,3,e,0,0,12,1,0,3,3,1,2,1,62
10000494,1,0,16,e,3,0,7,1,0,2,2,0,2,2,29
10000495,2,1,14,d,4,1,11,0,0,3,3,0,0,4,41
10000497,2,1,6,f,2,0,9,1,1,4,3,1,2,3,53
10000499,2,0,6,e,3,1,15,1,1,2,3,1,2,3,30.5
10000500,1,0,3,g,0,0,0,1,1,3,3,1,1,4,45
10000501,1,1,12,e,4,0,5,1,0,2,3,0,2,4,25
10000502,2,0,2,e,3,0,2,1,1,2,2,1,2,1,38.5
10000504,1,0,6,e,1,0,1,1,0,3,2,0,0,3,61
10000505,2,1,2,e,4,1,5,1,0,3,3,0,1,4,43
10000509,2,1,14,e,0,1,15,0,0,1,3,0,0,2,39.5
10000510,1,1,12,f,1,0,7,1,1,4,3,0,1,3,75
10000511,2,1,5,d,1,1,2,1,0,3,3,1,2,1,71
10000512,1,0,11,g,3,0,2,1,0,1,2,0,2,2,20
10000516,1,1,8,f,0,0,5,1,0,3,3,0,2,1,70
10000518,1,1,6,g,1,0,10,2,0,3,3,0,1,2,68
10000521,1,0,11,f,3,0,4,1,0,3,2,1,1,2,36
10000529,1,0,2,e,0,0,0,2,0,2,3,0,2,2,25
10000532,1,0,1,h,2,0,0,1,1,3,2,1,0,2,45
10000533,1,0,2,h,1,0,6,1,1,3,3,1,0,1,43
10000534,1,0,8,g,0,0,1,1,1,3,3,0,1,1,51
10000537,1,1,10,g,4,0,15,2,1,1,1,0,3,2,35
10000538,1,0,2,g,0,0,6.09394972975809,2,1,2,2,0,3,2,22
10000541,2,1,10,f,3,1,6,1,0,4,3,1,2,3,61
10000543,2,1,8,d,4,1,8,0,0,3,3,0,0,2,24
10000546,1,0,5,d,0,0,1,1,1,3,3,1,2,3,21
10000547,1,0,10,f,1,1,15,1,1,2,2,1,2,3,69.5
10000548,1,0,19,c,0,0,0,0,1,2,2,0,0,2,49
10000549,2,1,11,f,1,1,3,2,0,4,3,1,2,4,66.5
10000550,1,0,0,f,1,0,5,2,0,3,3,0,1,3,54
10000551,1,0,7,g,4,0,3,2,0,1,3,0,2,3,22
10000552,1,1,6,h,2,0,7,1,0,4,3,1,1,3,43
10000558,2,0,4,f,3,1,4,1,1,3,3,1,2,4,61.5
10000561,1,1,12,e,2,0,11,1,0,4,3,1,1,3,68
10000562,1,1,9,f,4,0,5,2,1,1,3,1,2,3,54
10000563,1,0,6,e,0,0,5,0,1,3,3,1,2,2,24
10000565,1,0,16,d,0,0,1,0,0,3,3,0,0,1,19
10000566,1,1,8,d,2,0,15,1,1,2,2,1,1,3,69
10000567,2,1,3,f,0,1,15,1,0,3,3,0,1,2,66.5
10000568,2,1,3,e,4,1,3,1,1,3,3,1,0,2,57.5
10000569,1,1,1,e,4,0,3,1,1,3,2,1,1,3,25
10000571,1,1,6,f,2,0,2,1,0,1,2,0,0,2,63
10000572,2,0,2,c,0,1,6,2,1,2,3,0,0,1,37
10000573,1,0,10,f,0,0,1,1,1,3,3,1,2,1,41
10000574,1,0,5,e,2,0,6,1,1,2,3,0,0,3,25
10000576,1,0,3,f,3,0,6,2,0,3,3,0,0,3,23
10000577,1,1,9,e,0,0,6,0,0,1,2,0,2,3,22
10000578,1,1,2,d,1,0,7,1,1,3,3,0,1,3,58
10000580,1,0,8,i,0,0,4,2,0,1,1,0,3,2,42
10000581,1,1,8,f,4,0,1,0,1,2,2,0,0,1,51
10000583,1,0,9,c,4,0,4,1,0,2,3,0,2,1,20
10000585,1,1,15,d,1,0,1,0,0,2,3,0,0,2,53
10000586,2,0,20,d,0,1,15,0,0,1,1,0,0,2,27
10000587,1,1,1,e,0,0,15,2,0,3,3,1,1,3,66
10000589,2,1,4,g,3,1,7,1,1,4,3,1,0,4,48
10000590,2,1,14,e,4,1,11,1,1,2,2,1,1,1,74
10000593,1,0,5,e,0,0,0,2,0,1,1,0,3,3,25
10000594,1,1,8,f,1,0,1,1,1,3,2,0,2,1,58
10000596,1,1,13,g,1,0,5,1,1,3,3,1,2,3,74
10000598,1,0,8,g,4,0,2,1,1,3,3,1,2,3,58
10000600,2,0,12,f,3,0,4,0,0,1,2,0,0,2,33.5
10000601,1,0,8,f,0,0,15,1,0,1,3,0,2,3,35
10000603,2,1,16,e,0,1,2,0,0,3,3,0,0,2,52
10000608,3,1,15,f,1,1,15,1,1,2,3,1,0,4,47
10000609,1,0,11,e,0,0,2,0,0,1,2,0,0,2,21
10000611,1,0,7,e,4,0,8,1,0,3,3,0,2,2,24
10000614,1,0,24,c,0,0,2,0,1,1,2,0,0,1,30
10000615,2,0,3,f,4,0,11,2,0,3,3,0,1,3,36.5
10000616,2,1,1,g,4,1,5,1,0,3,3,1,0,4,45.5
10000618,1,0,5,f,0,0,15,1,0,3,3,1,0,1,47
10000619,1,0,4,e,0,0,0,1,1,1,3,1,2,1,24
10000622,1,1,1,f,4,0,2,2,0,1,1,0,3,3,51
10000624,1,0,1,g,4,0,5,1,0,4,3,0,1,2,28
10000628,1,0,9,d,1,0,15,2,0,2,2,0,1,2,58
10000630,1,0,17,e,0,0,5,0,0,3,3,0,0,1,20
10000631,1,0,8,g,4,0,7,2,1,2,2,1,0,3,45
10000633,1,0,17,d,3,0,1,0,1,1,1,0,0,2,18
10000636,2,1,9,e,0,1,15,2,1,3,3,1,2,1,47.5
10000637,1,0,13,c,3,0,12,0,0,1,2,0,2,3,33
10000639,1,0,13,d,0,0,4,0,0,1,1,0,0,1,30
10000640,1,0,13,e,0,0,1,0,0,1,1,0,0,1,29
10000643,1,0,5,e,3,0,3,1,0,3,2,0,2,1,37
10000644,1,1,8,g,0,0,15,1,0,3,3,1,2,1,48
10000647,1,1,9,g,0,0,2,2,1,1,1,1,2,1,60
10000648,2,1,13,h,4,1,10,1,1,3,3,1,0,2,43.5
10000649,1,0,16,c,0,0,1,0,1,1,1,0,0,1,65
10000650,1,1,2,e,4,0,15,1,1,2,2,1,1,2,45
10000655,1,1,15,e,0,0,3,0,0,1,1,0,1,3,44
